"","mn_ppb_norm.1.comps","mn_ppb_norm.2.comps"
"moisture",-0.107913769206907,0.039154231567684
"om",-0.14413691399899,-0.0740784862754319
"mf",0.14413691399899,0.0740784862754318
"ph",0.133447166781073,0.149864537826449
"al_ppb",0.0771938328624672,0.288453724731509
"fe_ppb",0.0938634805862424,0.284186247830646
"doc_254",-0.100427548351967,0.0425251807887979
"e254_356",-0.111608116206704,-0.2375836834732
