"","mn_ppb_log.1.comps","mn_ppb_log.2.comps"
"moisture",-0.18550873958416,-0.0331924186261916
"om",-0.247777993855779,-0.175219436543863
"mf",0.247777993855779,0.175219436543863
"ph",0.229401826037316,0.246405073135685
"al_ppb",0.132699754102093,0.351498740462081
"fe_ppb",0.161355646313775,0.358470338486945
"doc_254",-0.172639581132416,-0.0245853908330934
"e254_356",-0.191859492231904,-0.322330667712388
