"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"moisture",0.327892203876907,0.381161627061394,0.536579262440738,-0.16702226420331,0.12549555099209,0.275674436623943,-0.58278919580314,0
"om",0.437954959209413,0.181573042129012,0.199502875852728,0.0137910191504305,-0.0564785663484435,-0.216456060983937,0.430339446948248,-0.707106781186547
"mf",-0.437954959209412,-0.181573042129012,-0.199502875852728,-0.0137910191504311,0.0564785663484415,0.216456060983938,-0.430339446948247,-0.707106781186548
"ph",-0.405474537110085,0.042549513332388,0.474060739360509,0.0823499202513008,-0.270331255046801,0.58571765219041,0.43141707101074,8.32667268468867e-16
"al_ppb",-0.234550754449599,0.547530147234653,-0.196808062900866,-0.394440466635473,-0.629771873943575,-0.218432749125267,-0.0809599099128635,7.94503351997378e-16
"fe_ppb",-0.285200894558415,0.493266619846763,-0.150722862745619,-0.278378704310471,0.7040753641359,0.0483256080233143,0.277630913888016,-6.80011602582908e-16
"doc_254",0.30514558430393,0.370495923961554,-0.532057081035154,0.475950636222876,-0.0974090025250756,0.500504172112806,0.00350100440211618,1.11022302462516e-16
"e254_356",0.339117347698239,-0.326495579843194,-0.251417547342718,-0.710868958826056,-0.0544883193540571,0.432064031883808,0.142148853336835,4.85722573273506e-16
