"","Wavelength..nm.","Absorbance"
"1",250,1.599
"2",251,1.59
"3",252,1.58
"4",253,1.57
"5",254,1.56
"6",255,1.55
"7",256,1.541
"8",257,1.532
"9",258,1.524
"10",259,1.516
"11",260,1.508
"12",261,1.5
"13",262,1.492
"14",263,1.484
"15",264,1.477
"16",265,1.471
"17",266,1.463
"18",267,1.456
"19",268,1.45
"20",269,1.443
"21",270,1.437
"22",271,1.43
"23",272,1.423
"24",273,1.416
"25",274,1.409
"26",275,1.402
"27",276,1.394
"28",277,1.386
"29",278,1.379
"30",279,1.37
"31",280,1.363
"32",281,1.354
"33",282,1.346
"34",283,1.338
"35",284,1.328
"36",285,1.319
"37",286,1.31
"38",287,1.301
"39",288,1.293
"40",289,1.283
"41",290,1.275
"42",291,1.265
"43",292,1.256
"44",293,1.246
"45",294,1.237
"46",295,1.228
"47",296,1.218
"48",297,1.209
"49",298,1.2
"50",299,1.189
"51",300,1.18
"52",301,1.168
"53",302,1.158
"54",303,1.148
"55",304,1.137
"56",305,1.125
"57",306,1.115
"58",307,1.103
"59",308,1.09
"60",309,1.08
"61",310,1.067
"62",311,1.055
"63",312,1.043
"64",313,1.032
"65",314,1.019
"66",315,1.007
"67",316,0.995
"68",317,0.984
"69",318,0.972
"70",319,0.962
"71",320,0.951
"72",321,0.942
"73",322,0.932
"74",323,0.922
"75",324,0.912
"76",325,0.904
"77",326,0.894
"78",327,0.886
"79",328,0.878
"80",329,0.87
"81",330,0.862
"82",331,0.855
"83",332,0.847
"84",333,0.84
"85",334,0.833
"86",335,0.826
"87",336,0.82
"88",337,0.813
"89",338,0.806
"90",339,0.8
"91",340,0.794
"92",341,0.788
"93",342,0.781
"94",343,0.775
"95",344,0.769
"96",345,0.762
"97",346,0.756
"98",347,0.75
"99",348,0.744
"100",349,0.737
"101",350,0.732
"102",351,0.725
"103",352,0.719
"104",353,0.712
"105",354,0.705
"106",355,0.698
"107",356,0.691
"108",357,0.683
"109",358,0.676
"110",359,0.668
"111",360,0.66
"112",361,0.652
"113",362,0.643
"114",363,0.635
"115",364,0.625
"116",365,0.615
"117",366,0.606
"118",367,0.595
"119",368,0.585
"120",369,0.574
"121",370,0.564
