"","Wavelength..nm.","Absorbance"
"1",250,0.571
"2",251,0.567
"3",252,0.562
"4",253,0.557
"5",254,0.552
"6",255,0.548
"7",256,0.544
"8",257,0.54
"9",258,0.536
"10",259,0.532
"11",260,0.528
"12",261,0.524
"13",262,0.52
"14",263,0.517
"15",264,0.513
"16",265,0.509
"17",266,0.505
"18",267,0.501
"19",268,0.497
"20",269,0.493
"21",270,0.489
"22",271,0.485
"23",272,0.481
"24",273,0.477
"25",274,0.473
"26",275,0.468
"27",276,0.464
"28",277,0.459
"29",278,0.455
"30",279,0.451
"31",280,0.446
"32",281,0.441
"33",282,0.437
"34",283,0.432
"35",284,0.427
"36",285,0.421
"37",286,0.416
"38",287,0.411
"39",288,0.405
"40",289,0.4
"41",290,0.394
"42",291,0.389
"43",292,0.384
"44",293,0.378
"45",294,0.373
"46",295,0.368
"47",296,0.363
"48",297,0.358
"49",298,0.354
"50",299,0.349
"51",300,0.344
"52",301,0.339
"53",302,0.335
"54",303,0.331
"55",304,0.327
"56",305,0.322
"57",306,0.318
"58",307,0.314
"59",308,0.311
"60",309,0.307
"61",310,0.303
"62",311,0.299
"63",312,0.295
"64",313,0.292
"65",314,0.288
"66",315,0.284
"67",316,0.281
"68",317,0.277
"69",318,0.274
"70",319,0.27
"71",320,0.267
"72",321,0.263
"73",322,0.26
"74",323,0.257
"75",324,0.254
"76",325,0.251
"77",326,0.247
"78",327,0.244
"79",328,0.241
"80",329,0.238
"81",330,0.235
"82",331,0.232
"83",332,0.229
"84",333,0.226
"85",334,0.222
"86",335,0.219
"87",336,0.216
"88",337,0.213
"89",338,0.21
"90",339,0.207
"91",340,0.204
"92",341,0.201
"93",342,0.198
"94",343,0.195
"95",344,0.192
"96",345,0.189
"97",346,0.186
"98",347,0.184
"99",348,0.181
"100",349,0.178
"101",350,0.175
"102",351,0.173
"103",352,0.17
"104",353,0.167
"105",354,0.165
"106",355,0.162
"107",356,0.16
"108",357,0.157
"109",358,0.155
"110",359,0.153
"111",360,0.15
"112",361,0.148
"113",362,0.146
"114",363,0.144
"115",364,0.142
"116",365,0.139
"117",366,0.137
"118",367,0.135
"119",368,0.133
"120",369,0.131
"121",370,0.129
"122",371,0.127
"123",372,0.125
"124",373,0.123
"125",374,0.122
"126",375,0.12
"127",376,0.118
"128",377,0.116
"129",378,0.115
"130",379,0.113
"131",380,0.112
"132",381,0.11
"133",382,0.108
"134",383,0.107
"135",384,0.105
"136",385,0.104
"137",386,0.103
"138",387,0.101
"139",388,0.1
"140",389,0.098
"141",390,0.097
"142",391,0.096
"143",392,0.095
"144",393,0.093
"145",394,0.092
"146",395,0.091
"147",396,0.09
"148",397,0.089
"149",398,0.088
"150",399,0.087
"151",400,0.086
"152",401,0.085
"153",402,0.084
"154",403,0.083
"155",404,0.082
"156",405,0.081
"157",406,0.08
"158",407,0.079
"159",408,0.078
"160",409,0.077
"161",410,0.076
"162",411,0.075
"163",412,0.075
"164",413,0.074
"165",414,0.073
"166",415,0.072
"167",416,0.071
"168",417,0.07
"169",418,0.069
"170",419,0.069
"171",420,0.068
"172",421,0.067
"173",422,0.066
"174",423,0.065
"175",424,0.065
"176",425,0.064
"177",426,0.063
"178",427,0.062
"179",428,0.062
"180",429,0.061
"181",430,0.06
"182",431,0.06
"183",432,0.059
"184",433,0.059
"185",434,0.058
"186",435,0.057
"187",436,0.057
"188",437,0.056
"189",438,0.056
"190",439,0.055
"191",440,0.055
"192",441,0.054
"193",442,0.054
"194",443,0.053
"195",444,0.053
"196",445,0.053
"197",446,0.052
"198",447,0.052
"199",448,0.051
"200",449,0.051
"201",450,0.05
"202",451,0.05
"203",452,0.05
"204",453,0.049
"205",454,0.049
"206",455,0.049
"207",456,0.048
"208",457,0.048
"209",458,0.048
"210",459,0.047
"211",460,0.047
"212",461,0.046
"213",462,0.046
"214",463,0.046
"215",464,0.045
"216",465,0.045
"217",466,0.045
"218",467,0.044
"219",468,0.044
"220",469,0.044
"221",470,0.044
"222",471,0.043
"223",472,0.043
"224",473,0.043
"225",474,0.042
"226",475,0.042
"227",476,0.042
"228",477,0.041
"229",478,0.041
"230",479,0.041
"231",480,0.04
"232",481,0.04
"233",482,0.04
"234",483,0.04
"235",484,0.039
"236",485,0.039
"237",486,0.039
"238",487,0.038
"239",488,0.038
"240",489,0.038
"241",490,0.037
"242",491,0.037
"243",492,0.037
"244",493,0.036
"245",494,0.036
"246",495,0.036
"247",496,0.035
"248",497,0.035
"249",498,0.035
"250",499,0.035
"251",500,0.034
"252",501,0.034
"253",502,0.034
"254",503,0.033
"255",504,0.033
"256",505,0.033
"257",506,0.033
"258",507,0.032
"259",508,0.032
"260",509,0.032
"261",510,0.031
"262",511,0.031
"263",512,0.031
"264",513,0.031
"265",514,0.03
"266",515,0.03
"267",516,0.03
"268",517,0.03
"269",518,0.029
"270",519,0.029
"271",520,0.029
"272",521,0.029
"273",522,0.028
"274",523,0.028
"275",524,0.028
"276",525,0.028
"277",526,0.027
"278",527,0.027
"279",528,0.027
"280",529,0.027
"281",530,0.026
"282",531,0.026
"283",532,0.026
"284",533,0.026
"285",534,0.026
"286",535,0.025
"287",536,0.025
"288",537,0.025
"289",538,0.024
"290",539,0.024
"291",540,0.024
"292",541,0.024
"293",542,0.024
"294",543,0.023
"295",544,0.023
"296",545,0.023
"297",546,0.023
"298",547,0.023
"299",548,0.022
"300",549,0.022
"301",550,0.022
"302",551,0.022
"303",552,0.022
"304",553,0.022
"305",554,0.021
"306",555,0.021
"307",556,0.021
"308",557,0.021
"309",558,0.021
"310",559,0.021
"311",560,0.02
"312",561,0.02
"313",562,0.02
"314",563,0.02
"315",564,0.02
"316",565,0.02
"317",566,0.019
"318",567,0.019
"319",568,0.019
"320",569,0.019
"321",570,0.019
"322",571,0.019
"323",572,0.018
"324",573,0.018
"325",574,0.018
"326",575,0.018
"327",576,0.018
"328",577,0.018
"329",578,0.017
"330",579,0.017
"331",580,0.017
"332",581,0.017
"333",582,0.017
"334",583,0.017
"335",584,0.017
"336",585,0.016
"337",586,0.016
"338",587,0.016
"339",588,0.016
"340",589,0.016
"341",590,0.016
"342",591,0.016
"343",592,0.016
"344",593,0.016
"345",594,0.015
"346",595,0.015
"347",596,0.015
"348",597,0.015
"349",598,0.015
"350",599,0.015
"351",600,0.015
"352",601,0.015
"353",602,0.015
"354",603,0.015
"355",604,0.014
"356",605,0.014
"357",606,0.014
"358",607,0.014
"359",608,0.014
"360",609,0.014
"361",610,0.014
"362",611,0.014
"363",612,0.013
"364",613,0.013
"365",614,0.013
"366",615,0.013
"367",616,0.013
"368",617,0.013
"369",618,0.013
"370",619,0.012
"371",620,0.012
"372",621,0.012
"373",622,0.012
"374",623,0.012
"375",624,0.012
"376",625,0.012
"377",626,0.011
"378",627,0.011
"379",628,0.011
"380",629,0.011
"381",630,0.011
"382",631,0.011
"383",632,0.011
"384",633,0.011
"385",634,0.01
"386",635,0.01
"387",636,0.01
"388",637,0.01
"389",638,0.01
"390",639,0.01
"391",640,0.01
"392",641,0.01
"393",642,0.009
"394",643,0.009
"395",644,0.009
"396",645,0.009
"397",646,0.009
"398",647,0.009
"399",648,0.009
"400",649,0.009
"401",650,0.009
"402",651,0.009
"403",652,0.009
"404",653,0.008
"405",654,0.008
"406",655,0.008
"407",656,0.008
"408",657,0.008
"409",658,0.008
"410",659,0.008
"411",660,0.008
"412",661,0.008
"413",662,0.008
"414",663,0.008
"415",664,0.008
"416",665,0.007
