"","Wavelength..nm.","Absorbance"
"1",250,0.81
"2",251,0.805
"3",252,0.799
"4",253,0.793
"5",254,0.788
"6",255,0.782
"7",256,0.776
"8",257,0.77
"9",258,0.765
"10",259,0.759
"11",260,0.753
"12",261,0.748
"13",262,0.742
"14",263,0.736
"15",264,0.73
"16",265,0.724
"17",266,0.717
"18",267,0.711
"19",268,0.704
"20",269,0.698
"21",270,0.691
"22",271,0.685
"23",272,0.678
"24",273,0.671
"25",274,0.664
"26",275,0.657
"27",276,0.651
"28",277,0.644
"29",278,0.637
"30",279,0.63
"31",280,0.623
"32",281,0.616
"33",282,0.61
"34",283,0.603
"35",284,0.596
"36",285,0.589
"37",286,0.582
"38",287,0.575
"39",288,0.569
"40",289,0.562
"41",290,0.556
"42",291,0.549
"43",292,0.543
"44",293,0.537
"45",294,0.531
"46",295,0.525
"47",296,0.519
"48",297,0.513
"49",298,0.507
"50",299,0.501
"51",300,0.496
"52",301,0.49
"53",302,0.485
"54",303,0.479
"55",304,0.474
"56",305,0.468
"57",306,0.463
"58",307,0.458
"59",308,0.452
"60",309,0.447
"61",310,0.441
"62",311,0.436
"63",312,0.431
"64",313,0.426
"65",314,0.42
"66",315,0.415
"67",316,0.409
"68",317,0.404
"69",318,0.399
"70",319,0.394
"71",320,0.389
"72",321,0.385
"73",322,0.38
"74",323,0.375
"75",324,0.371
"76",325,0.366
"77",326,0.362
"78",327,0.357
"79",328,0.353
"80",329,0.349
"81",330,0.344
"82",331,0.34
"83",332,0.336
"84",333,0.332
"85",334,0.328
"86",335,0.323
"87",336,0.32
"88",337,0.316
"89",338,0.312
"90",339,0.308
"91",340,0.304
"92",341,0.3
"93",342,0.296
"94",343,0.293
"95",344,0.289
"96",345,0.285
"97",346,0.282
"98",347,0.278
"99",348,0.275
"100",349,0.271
"101",350,0.268
"102",351,0.264
"103",352,0.261
"104",353,0.258
"105",354,0.255
"106",355,0.251
"107",356,0.248
"108",357,0.245
"109",358,0.242
"110",359,0.239
"111",360,0.236
