"","Wavelength..nm.","Absorbance"
"1",250,0.433
"2",251,0.43
"3",252,0.426
"4",253,0.422
"5",254,0.419
"6",255,0.415
"7",256,0.412
"8",257,0.408
"9",258,0.405
"10",259,0.402
"11",260,0.398
"12",261,0.395
"13",262,0.391
"14",263,0.388
"15",264,0.384
"16",265,0.381
"17",266,0.377
"18",267,0.374
"19",268,0.37
"20",269,0.367
"21",270,0.363
"22",271,0.36
"23",272,0.356
"24",273,0.352
"25",274,0.348
"26",275,0.345
"27",276,0.341
"28",277,0.337
"29",278,0.334
"30",279,0.33
"31",280,0.327
"32",281,0.323
"33",282,0.32
"34",283,0.316
"35",284,0.312
"36",285,0.308
"37",286,0.305
"38",287,0.301
"39",288,0.297
"40",289,0.294
"41",290,0.29
"42",291,0.286
"43",292,0.283
"44",293,0.279
"45",294,0.275
"46",295,0.272
"47",296,0.268
"48",297,0.265
"49",298,0.262
"50",299,0.258
"51",300,0.255
"52",301,0.252
"53",302,0.248
"54",303,0.245
"55",304,0.242
"56",305,0.239
"57",306,0.236
"58",307,0.233
"59",308,0.23
"60",309,0.227
"61",310,0.224
"62",311,0.221
"63",312,0.218
"64",313,0.215
"65",314,0.212
"66",315,0.209
"67",316,0.207
"68",317,0.204
"69",318,0.201
"70",319,0.199
"71",320,0.196
"72",321,0.194
"73",322,0.191
"74",323,0.189
"75",324,0.186
"76",325,0.184
"77",326,0.182
"78",327,0.179
"79",328,0.177
"80",329,0.175
"81",330,0.173
"82",331,0.17
"83",332,0.168
"84",333,0.166
"85",334,0.163
"86",335,0.161
"87",336,0.16
"88",337,0.157
"89",338,0.155
"90",339,0.153
"91",340,0.151
"92",341,0.148
"93",342,0.146
"94",343,0.144
"95",344,0.142
"96",345,0.14
"97",346,0.138
"98",347,0.136
"99",348,0.134
"100",349,0.132
"101",350,0.13
"102",351,0.128
"103",352,0.127
"104",353,0.125
"105",354,0.123
"106",355,0.121
"107",356,0.119
"108",357,0.117
"109",358,0.116
"110",359,0.114
"111",360,0.112
"112",361,0.11
"113",362,0.109
"114",363,0.107
"115",364,0.105
"116",365,0.104
"117",366,0.102
"118",367,0.1
"119",368,0.099
"120",369,0.097
"121",370,0.095
"122",371,0.094
"123",372,0.092
"124",373,0.091
"125",374,0.089
"126",375,0.088
"127",376,0.086
"128",377,0.085
"129",378,0.084
"130",379,0.082
"131",380,0.081
"132",381,0.08
"133",382,0.078
"134",383,0.077
"135",384,0.076
"136",385,0.074
"137",386,0.073
"138",387,0.072
"139",388,0.071
"140",389,0.07
"141",390,0.069
"142",391,0.068
"143",392,0.067
"144",393,0.066
"145",394,0.065
"146",395,0.064
"147",396,0.063
"148",397,0.062
"149",398,0.061
"150",399,0.06
"151",400,0.059
"152",401,0.058
"153",402,0.058
"154",403,0.057
"155",404,0.056
"156",405,0.055
"157",406,0.054
"158",407,0.054
"159",408,0.053
"160",409,0.052
"161",410,0.052
"162",411,0.051
"163",412,0.05
"164",413,0.05
"165",414,0.049
"166",415,0.048
"167",416,0.048
"168",417,0.047
"169",418,0.046
"170",419,0.046
"171",420,0.045
"172",421,0.044
"173",422,0.044
"174",423,0.043
"175",424,0.043
"176",425,0.042
"177",426,0.042
"178",427,0.041
"179",428,0.041
"180",429,0.04
"181",430,0.04
"182",431,0.039
"183",432,0.039
"184",433,0.039
"185",434,0.038
"186",435,0.038
"187",436,0.037
"188",437,0.037
"189",438,0.036
"190",439,0.036
"191",440,0.036
"192",441,0.035
"193",442,0.035
"194",443,0.035
"195",444,0.034
"196",445,0.034
"197",446,0.034
"198",447,0.033
"199",448,0.033
"200",449,0.033
"201",450,0.033
"202",451,0.032
"203",452,0.032
"204",453,0.032
"205",454,0.031
"206",455,0.031
"207",456,0.031
"208",457,0.031
"209",458,0.03
"210",459,0.03
"211",460,0.03
"212",461,0.03
"213",462,0.029
"214",463,0.029
"215",464,0.029
"216",465,0.029
"217",466,0.029
"218",467,0.028
"219",468,0.028
"220",469,0.028
"221",470,0.028
"222",471,0.027
"223",472,0.027
"224",473,0.027
"225",474,0.027
"226",475,0.027
"227",476,0.026
"228",477,0.026
