"","Wavelength..nm.","Absorbance"
"1",250,0.122
"2",251,0.121
"3",252,0.12
"4",253,0.118
"5",254,0.117
"6",255,0.116
"7",256,0.115
"8",257,0.114
"9",258,0.113
"10",259,0.112
"11",260,0.111
"12",261,0.11
"13",262,0.11
"14",263,0.109
"15",264,0.108
"16",265,0.107
"17",266,0.107
"18",267,0.106
"19",268,0.105
"20",269,0.105
"21",270,0.104
"22",271,0.104
"23",272,0.103
"24",273,0.102
"25",274,0.102
"26",275,0.101
"27",276,0.1
"28",277,0.1
"29",278,0.099
"30",279,0.098
"31",280,0.098
"32",281,0.097
"33",282,0.096
"34",283,0.095
"35",284,0.094
"36",285,0.093
"37",286,0.093
"38",287,0.092
"39",288,0.091
"40",289,0.09
"41",290,0.09
"42",291,0.089
"43",292,0.088
"44",293,0.087
"45",294,0.086
"46",295,0.085
"47",296,0.084
"48",297,0.083
"49",298,0.082
"50",299,0.081
"51",300,0.08
"52",301,0.079
"53",302,0.077
"54",303,0.076
"55",304,0.075
"56",305,0.074
"57",306,0.073
"58",307,0.071
"59",308,0.07
"60",309,0.069
"61",310,0.068
"62",311,0.066
"63",312,0.065
"64",313,0.064
"65",314,0.063
"66",315,0.061
"67",316,0.06
"68",317,0.059
"69",318,0.058
"70",319,0.057
"71",320,0.056
"72",321,0.055
"73",322,0.055
"74",323,0.054
"75",324,0.053
"76",325,0.053
"77",326,0.052
"78",327,0.051
"79",328,0.051
"80",329,0.05
"81",330,0.05
"82",331,0.049
"83",332,0.049
"84",333,0.048
"85",334,0.048
"86",335,0.048
"87",336,0.047
"88",337,0.047
"89",338,0.047
"90",339,0.046
"91",340,0.046
"92",341,0.045
"93",342,0.045
"94",343,0.044
"95",344,0.044
"96",345,0.044
"97",346,0.043
"98",347,0.043
"99",348,0.043
"100",349,0.042
"101",350,0.042
"102",351,0.042
"103",352,0.041
"104",353,0.041
"105",354,0.041
"106",355,0.04
"107",356,0.04
"108",357,0.039
"109",358,0.039
"110",359,0.038
"111",360,0.038
"112",361,0.038
"113",362,0.037
"114",363,0.036
"115",364,0.036
"116",365,0.035
"117",366,0.034
"118",367,0.034
"119",368,0.033
"120",369,0.032
"121",370,0.031
"122",371,0.031
"123",372,0.03
"124",373,0.029
"125",374,0.028
"126",375,0.027
"127",376,0.027
"128",377,0.026
"129",378,0.025
"130",379,0.024
"131",380,0.023
"132",381,0.023
"133",382,0.022
"134",383,0.021
"135",384,0.02
"136",385,0.02
"137",386,0.019
"138",387,0.018
"139",388,0.018
"140",389,0.017
"141",390,0.016
"142",391,0.016
"143",392,0.015
"144",393,0.015
"145",394,0.014
"146",395,0.014
"147",396,0.013
"148",397,0.013
"149",398,0.012
"150",399,0.012
"151",400,0.012
"152",401,0.011
"153",402,0.011
"154",403,0.011
"155",404,0.01
"156",405,0.01
"157",406,0.01
"158",407,0.01
"159",408,0.009
"160",409,0.009
"161",410,0.009
"162",411,0.008
"163",412,0.008
"164",413,0.008
"165",414,0.008
"166",415,0.007
"167",416,0.007
"168",417,0.007
"169",418,0.007
"170",419,0.006
"171",420,0.006
"172",421,0.006
"173",422,0.005
"174",423,0.005
"175",424,0.005
"176",425,0.005
"177",426,0.004
"178",427,0.004
"179",428,0.004
"180",429,0.004
"181",430,0.003
"182",431,0.003
"183",432,0.003
"184",433,0.003
"185",434,0.002
"186",435,0.002
"187",436,0.002
"188",437,0.002
"189",438,0.002
"190",439,0.001
"191",440,0.001
"192",441,0.001
"193",442,0.001
"194",443,0.001
"195",444,0.001
"196",445,0.001
"197",446,0.001
"198",447,0
"199",448,0
"200",449,0
"201",450,0
"202",451,0
"203",452,0
"204",453,0
"205",454,0
"206",455,0
"207",456,0
"208",457,0
"209",458,0
"210",459,0
"211",460,0
"212",461,0
"213",462,0
"214",463,0
"215",464,0
"216",465,0
"217",466,0
"218",467,0
"219",468,0
"220",469,0
"221",470,0
"222",471,0
"223",472,0
"224",473,0
"225",474,0
"226",475,0
"227",476,0
"228",477,0
"229",478,0
"230",479,0
"231",480,0
"232",481,0
"233",482,-0.001
"234",483,-0.001
"235",484,-0.001
"236",485,-0.001
"237",486,-0.001
"238",487,-0.001
"239",488,-0.001
"240",489,-0.001
"241",490,-0.001
"242",491,-0.001
"243",492,-0.001
"244",493,-0.001
"245",494,-0.001
"246",495,-0.002
"247",496,-0.002
"248",497,-0.002
"249",498,-0.002
"250",499,-0.002
"251",500,-0.002
"252",501,-0.002
"253",502,-0.002
"254",503,-0.002
"255",504,-0.002
"256",505,-0.002
"257",506,-0.003
"258",507,-0.003
"259",508,-0.003
"260",509,-0.003
"261",510,-0.003
"262",511,-0.003
"263",512,-0.003
"264",513,-0.003
"265",514,-0.003
"266",515,-0.003
"267",516,-0.003
"268",517,-0.003
"269",518,-0.003
"270",519,-0.003
"271",520,-0.003
"272",521,-0.003
"273",522,-0.003
"274",523,-0.004
"275",524,-0.004
"276",525,-0.004
"277",526,-0.004
"278",527,-0.004
"279",528,-0.004
"280",529,-0.004
"281",530,-0.004
"282",531,-0.004
"283",532,-0.004
"284",533,-0.004
"285",534,-0.004
"286",535,-0.004
"287",536,-0.004
"288",537,-0.004
"289",538,-0.004
"290",539,-0.004
"291",540,-0.004
"292",541,-0.004
"293",542,-0.004
"294",543,-0.004
"295",544,-0.004
"296",545,-0.004
"297",546,-0.004
"298",547,-0.004
"299",548,-0.004
"300",549,-0.004
"301",550,-0.004
"302",551,-0.004
"303",552,-0.004
"304",553,-0.004
"305",554,-0.005
"306",555,-0.005
"307",556,-0.005
"308",557,-0.005
"309",558,-0.005
"310",559,-0.005
"311",560,-0.005
"312",561,-0.005
"313",562,-0.005
"314",563,-0.005
"315",564,-0.005
"316",565,-0.005
"317",566,-0.005
"318",567,-0.005
"319",568,-0.005
"320",569,-0.005
"321",570,-0.005
"322",571,-0.005
"323",572,-0.005
"324",573,-0.005
"325",574,-0.005
"326",575,-0.005
"327",576,-0.005
"328",577,-0.005
"329",578,-0.005
"330",579,-0.005
"331",580,-0.005
