"","Wavelength..nm.","Absorbance"
"1",250,0.621
"2",251,0.617
"3",252,0.613
"4",253,0.608
"5",254,0.604
"6",255,0.599
"7",256,0.595
"8",257,0.591
"9",258,0.586
"10",259,0.582
"11",260,0.578
"12",261,0.573
"13",262,0.569
"14",263,0.564
"15",264,0.56
"16",265,0.555
"17",266,0.55
"18",267,0.545
"19",268,0.541
"20",269,0.536
"21",270,0.531
"22",271,0.526
"23",272,0.522
"24",273,0.517
"25",274,0.512
"26",275,0.507
"27",276,0.502
"28",277,0.498
"29",278,0.493
"30",279,0.488
"31",280,0.484
"32",281,0.479
"33",282,0.474
"34",283,0.469
"35",284,0.464
"36",285,0.46
"37",286,0.455
"38",287,0.45
"39",288,0.445
"40",289,0.441
"41",290,0.436
"42",291,0.431
"43",292,0.427
"44",293,0.422
"45",294,0.417
"46",295,0.413
"47",296,0.409
"48",297,0.404
"49",298,0.4
"50",299,0.396
"51",300,0.392
"52",301,0.387
"53",302,0.383
"54",303,0.379
"55",304,0.375
"56",305,0.371
"57",306,0.368
"58",307,0.365
"59",308,0.36
"60",309,0.356
"61",310,0.352
"62",311,0.348
"63",312,0.345
"64",313,0.341
"65",314,0.337
"66",315,0.333
"67",316,0.329
"68",317,0.325
"69",318,0.321
"70",319,0.317
"71",320,0.314
"72",321,0.31
"73",322,0.307
"74",323,0.304
"75",324,0.3
"76",325,0.297
"77",326,0.294
"78",327,0.29
"79",328,0.287
"80",329,0.284
"81",330,0.28
"82",331,0.277
"83",332,0.274
"84",333,0.271
"85",334,0.268
"86",335,0.265
"87",336,0.262
"88",337,0.259
"89",338,0.256
"90",339,0.253
"91",340,0.249
"92",341,0.247
"93",342,0.244
"94",343,0.241
"95",344,0.238
"96",345,0.235
"97",346,0.232
"98",347,0.229
"99",348,0.227
"100",349,0.224
"101",350,0.221
"102",351,0.218
"103",352,0.216
"104",353,0.213
"105",354,0.211
"106",355,0.208
"107",356,0.206
"108",357,0.203
"109",358,0.201
"110",359,0.198
"111",360,0.195
"112",361,0.193
"113",362,0.191
"114",363,0.188
"115",364,0.185
"116",365,0.183
"117",366,0.18
"118",367,0.178
"119",368,0.175
"120",369,0.173
"121",370,0.17
"122",371,0.168
"123",372,0.165
"124",373,0.163
"125",374,0.161
"126",375,0.158
"127",376,0.156
"128",377,0.153
"129",378,0.151
"130",379,0.149
"131",380,0.146
"132",381,0.144
"133",382,0.142
"134",383,0.14
"135",384,0.138
"136",385,0.136
"137",386,0.134
"138",387,0.131
"139",388,0.129
"140",389,0.127
"141",390,0.126
"142",391,0.124
"143",392,0.122
"144",393,0.12
"145",394,0.118
"146",395,0.116
"147",396,0.115
"148",397,0.113
"149",398,0.112
"150",399,0.11
"151",400,0.108
"152",401,0.107
"153",402,0.105
"154",403,0.104
"155",404,0.103
"156",405,0.101
"157",406,0.1
"158",407,0.098
"159",408,0.097
"160",409,0.096
"161",410,0.095
"162",411,0.093
"163",412,0.092
"164",413,0.091
"165",414,0.09
"166",415,0.088
"167",416,0.087
"168",417,0.086
"169",418,0.085
"170",419,0.084
"171",420,0.083
"172",421,0.081
"173",422,0.08
"174",423,0.079
"175",424,0.078
"176",425,0.077
"177",426,0.076
"178",427,0.075
"179",428,0.074
"180",429,0.073
"181",430,0.072
"182",431,0.072
"183",432,0.071
"184",433,0.07
"185",434,0.069
"186",435,0.068
"187",436,0.067
"188",437,0.066
"189",438,0.066
"190",439,0.065
"191",440,0.064
"192",441,0.063
"193",442,0.062
"194",443,0.062
"195",444,0.061
"196",445,0.06
"197",446,0.06
"198",447,0.059
"199",448,0.059
"200",449,0.058
"201",450,0.057
"202",451,0.057
"203",452,0.056
"204",453,0.056
"205",454,0.055
"206",455,0.055
"207",456,0.054
"208",457,0.054
"209",458,0.053
"210",459,0.053
"211",460,0.052
"212",461,0.052
"213",462,0.051
"214",463,0.051
"215",464,0.051
"216",465,0.05
"217",466,0.05
"218",467,0.049
"219",468,0.049
"220",469,0.048
"221",470,0.048
"222",471,0.048
"223",472,0.047
"224",473,0.047
"225",474,0.046
"226",475,0.046
"227",476,0.046
"228",477,0.045
"229",478,0.045
"230",479,0.044
"231",480,0.044
"232",481,0.043
"233",482,0.043
"234",483,0.043
"235",484,0.042
"236",485,0.042
"237",486,0.041
"238",487,0.041
"239",488,0.041
"240",489,0.04
"241",490,0.04
"242",491,0.039
"243",492,0.039
"244",493,0.038
"245",494,0.038
"246",495,0.038
"247",496,0.037
"248",497,0.037
"249",498,0.036
"250",499,0.036
"251",500,0.036
"252",501,0.035
"253",502,0.035
"254",503,0.034
"255",504,0.034
"256",505,0.034
"257",506,0.033
"258",507,0.033
"259",508,0.032
"260",509,0.032
"261",510,0.032
"262",511,0.031
"263",512,0.031
"264",513,0.031
"265",514,0.03
"266",515,0.03
"267",516,0.029
"268",517,0.029
"269",518,0.029
"270",519,0.028
"271",520,0.028
"272",521,0.028
"273",522,0.027
"274",523,0.027
"275",524,0.027
"276",525,0.026
"277",526,0.026
"278",527,0.026
"279",528,0.026
"280",529,0.025
"281",530,0.025
"282",531,0.025
"283",532,0.024
"284",533,0.024
"285",534,0.024
"286",535,0.023
"287",536,0.023
"288",537,0.023
"289",538,0.023
"290",539,0.022
"291",540,0.022
"292",541,0.022
"293",542,0.022
"294",543,0.021
"295",544,0.021
"296",545,0.021
"297",546,0.021
"298",547,0.02
"299",548,0.02
"300",549,0.02
"301",550,0.02
"302",551,0.02
"303",552,0.019
"304",553,0.019
"305",554,0.019
"306",555,0.019
"307",556,0.019
"308",557,0.018
"309",558,0.018
"310",559,0.018
"311",560,0.018
"312",561,0.018
"313",562,0.017
"314",563,0.017
"315",564,0.017
"316",565,0.017
"317",566,0.017
"318",567,0.016
"319",568,0.016
"320",569,0.016
"321",570,0.016
"322",571,0.016
"323",572,0.016
"324",573,0.015
"325",574,0.015
"326",575,0.015
"327",576,0.015
"328",577,0.015
"329",578,0.015
"330",579,0.014
"331",580,0.014
"332",581,0.014
"333",582,0.014
"334",583,0.014
"335",584,0.014
"336",585,0.014
"337",586,0.013
"338",587,0.013
"339",588,0.013
"340",589,0.013
"341",590,0.013
"342",591,0.013
"343",592,0.013
"344",593,0.013
"345",594,0.013
"346",595,0.012
"347",596,0.012
"348",597,0.012
"349",598,0.012
"350",599,0.012
"351",600,0.012
"352",601,0.012
"353",602,0.012
"354",603,0.012
"355",604,0.011
"356",605,0.011
"357",606,0.011
"358",607,0.011
"359",608,0.011
"360",609,0.011
"361",610,0.011
"362",611,0.011
"363",612,0.011
"364",613,0.01
"365",614,0.01
"366",615,0.01
"367",616,0.01
"368",617,0.01
"369",618,0.01
"370",619,0.01
"371",620,0.01
"372",621,0.009
"373",622,0.009
"374",623,0.009
"375",624,0.009
"376",625,0.009
"377",626,0.009
"378",627,0.009
"379",628,0.009
"380",629,0.009
"381",630,0.008
"382",631,0.008
"383",632,0.008
"384",633,0.008
"385",634,0.008
"386",635,0.008
"387",636,0.008
"388",637,0.008
"389",638,0.008
"390",639,0.008
"391",640,0.007
"392",641,0.007
"393",642,0.007
"394",643,0.007
"395",644,0.007
"396",645,0.007
"397",646,0.007
"398",647,0.007
"399",648,0.007
"400",649,0.007
"401",650,0.007
"402",651,0.006
"403",652,0.006
"404",653,0.006
"405",654,0.006
"406",655,0.006
"407",656,0.006
"408",657,0.006
"409",658,0.006
"410",659,0.006
"411",660,0.006
"412",661,0.006
