"","Wavelength..nm.","Absorbance"
"1",250,0.672
"2",251,0.668
"3",252,0.663
"4",253,0.658
"5",254,0.653
"6",255,0.648
"7",256,0.644
"8",257,0.639
"9",258,0.635
"10",259,0.63
"11",260,0.625
"12",261,0.62
"13",262,0.616
"14",263,0.611
"15",264,0.606
"16",265,0.601
"17",266,0.596
"18",267,0.591
"19",268,0.586
"20",269,0.581
"21",270,0.576
"22",271,0.571
"23",272,0.566
"24",273,0.56
"25",274,0.555
"26",275,0.55
"27",276,0.545
"28",277,0.54
"29",278,0.535
"30",279,0.53
"31",280,0.524
"32",281,0.52
"33",282,0.515
"34",283,0.509
"35",284,0.504
"36",285,0.499
"37",286,0.494
"38",287,0.489
"39",288,0.484
"40",289,0.479
"41",290,0.474
"42",291,0.469
"43",292,0.464
"44",293,0.458
"45",294,0.454
"46",295,0.449
"47",296,0.444
"48",297,0.44
"49",298,0.435
"50",299,0.431
"51",300,0.426
"52",301,0.421
"53",302,0.417
"54",303,0.413
"55",304,0.408
"56",305,0.404
"57",306,0.401
"58",307,0.397
"59",308,0.393
"60",309,0.388
"61",310,0.384
"62",311,0.38
"63",312,0.376
"64",313,0.372
"65",314,0.367
"66",315,0.363
"67",316,0.359
"68",317,0.354
"69",318,0.351
"70",319,0.347
"71",320,0.343
"72",321,0.339
"73",322,0.335
"74",323,0.332
"75",324,0.328
"76",325,0.324
"77",326,0.321
"78",327,0.317
"79",328,0.314
"80",329,0.31
"81",330,0.306
"82",331,0.303
"83",332,0.3
"84",333,0.296
"85",334,0.293
"86",335,0.289
"87",336,0.286
"88",337,0.283
"89",338,0.279
"90",339,0.276
"91",340,0.273
"92",341,0.27
"93",342,0.267
"94",343,0.264
"95",344,0.26
"96",345,0.258
"97",346,0.255
"98",347,0.252
"99",348,0.249
"100",349,0.246
"101",350,0.243
"102",351,0.24
"103",352,0.237
"104",353,0.234
"105",354,0.231
"106",355,0.228
"107",356,0.226
"108",357,0.223
"109",358,0.22
"110",359,0.217
"111",360,0.215
"112",361,0.212
"113",362,0.209
"114",363,0.206
"115",364,0.204
"116",365,0.201
"117",366,0.198
"118",367,0.195
"119",368,0.192
"120",369,0.19
"121",370,0.187
"122",371,0.184
"123",372,0.182
"124",373,0.179
"125",374,0.177
"126",375,0.174
"127",376,0.171
"128",377,0.169
"129",378,0.166
"130",379,0.164
"131",380,0.161
"132",381,0.159
"133",382,0.157
"134",383,0.154
"135",384,0.152
"136",385,0.149
"137",386,0.147
"138",387,0.145
"139",388,0.143
"140",389,0.141
"141",390,0.139
"142",391,0.136
"143",392,0.134
"144",393,0.132
"145",394,0.131
"146",395,0.129
"147",396,0.127
"148",397,0.125
"149",398,0.123
"150",399,0.122
"151",400,0.12
"152",401,0.118
"153",402,0.117
"154",403,0.115
"155",404,0.114
"156",405,0.112
"157",406,0.111
"158",407,0.109
"159",408,0.108
"160",409,0.106
"161",410,0.105
"162",411,0.103
"163",412,0.102
"164",413,0.101
"165",414,0.099
"166",415,0.098
"167",416,0.097
"168",417,0.095
"169",418,0.094
"170",419,0.093
"171",420,0.092
"172",421,0.091
"173",422,0.089
"174",423,0.088
"175",424,0.087
"176",425,0.086
"177",426,0.085
"178",427,0.084
"179",428,0.083
"180",429,0.082
"181",430,0.081
"182",431,0.08
"183",432,0.079
"184",433,0.078
"185",434,0.077
"186",435,0.076
"187",436,0.075
"188",437,0.074
"189",438,0.073
"190",439,0.072
"191",440,0.071
"192",441,0.071
"193",442,0.07
"194",443,0.069
"195",444,0.068
"196",445,0.068
"197",446,0.067
"198",447,0.066
"199",448,0.066
"200",449,0.065
"201",450,0.064
"202",451,0.064
"203",452,0.063
"204",453,0.062
"205",454,0.062
"206",455,0.061
"207",456,0.061
"208",457,0.06
"209",458,0.06
"210",459,0.059
"211",460,0.059
"212",461,0.058
"213",462,0.058
"214",463,0.057
"215",464,0.057
"216",465,0.056
"217",466,0.056
"218",467,0.055
"219",468,0.055
"220",469,0.054
"221",470,0.054
"222",471,0.053
"223",472,0.053
"224",473,0.052
"225",474,0.052
"226",475,0.052
"227",476,0.051
"228",477,0.051
"229",478,0.05
"230",479,0.05
"231",480,0.049
"232",481,0.049
"233",482,0.048
"234",483,0.048
"235",484,0.048
"236",485,0.047
"237",486,0.047
"238",487,0.046
"239",488,0.046
"240",489,0.045
"241",490,0.045
"242",491,0.044
