"","Wavelength..nm.","Absorbance"
"354",603,0.002
"355",604,0.002
"356",605,0.002
"357",606,0.002
"358",607,0.002
"359",608,0.002
"360",609,0.002
"361",610,0.002
"362",611,0.002
"363",612,0.001
"364",613,0.001
"365",614,0.001
"366",615,0.001
"367",616,0.001
"368",617,0.001
"369",618,0.001
"370",619,0.001
"371",620,0.001
"372",621,0.001
"373",622,0.001
"374",623,0.001
"375",624,0.001
"376",625,0.001
"377",626,0.001
"378",627,0.001
"379",628,0.001
"380",629,0.001
"381",630,0.001
"382",631,0.001
"383",632,0.001
"384",633,0.001
"385",634,0.001
"386",635,0.001
"387",636,0.001
"388",637,0.001
"389",638,0.001
"390",639,0.001
"391",640,0.001
"392",641,0.001
"393",642,0.001
"394",643,0.001
"395",644,0.001
"396",645,0.001
"397",646,0.001
"398",647,0.001
"399",648,0.001
"400",649,0.001
"401",650,0.001
"402",651,0.001
"403",652,0.001
"404",653,0.001
"405",654,0.001
"406",655,0.001
"407",656,0.001
"408",657,0.001
"409",658,0.001
"410",659,0.001
"411",660,0.001
"412",661,0.001
"413",662,0.001
"414",663,0.001
"415",664,0.001
"416",665,0.001
