"","Wavelength..nm.","Absorbance"
"1",250,0.403
"2",251,0.4
"3",252,0.396
"4",253,0.393
"5",254,0.39
"6",255,0.386
"7",256,0.383
"8",257,0.38
"9",258,0.378
"10",259,0.375
"11",260,0.372
"12",261,0.369
"13",262,0.366
"14",263,0.363
"15",264,0.36
"16",265,0.357
"17",266,0.354
"18",267,0.351
"19",268,0.348
"20",269,0.345
"21",270,0.342
"22",271,0.339
"23",272,0.336
"24",273,0.333
"25",274,0.33
"26",275,0.327
"27",276,0.324
"28",277,0.321
"29",278,0.318
"30",279,0.314
"31",280,0.311
"32",281,0.308
"33",282,0.305
"34",283,0.302
"35",284,0.298
"36",285,0.295
"37",286,0.291
"38",287,0.288
"39",288,0.285
"40",289,0.281
"41",290,0.278
"42",291,0.274
"43",292,0.271
"44",293,0.268
"45",294,0.264
"46",295,0.261
"47",296,0.257
"48",297,0.254
"49",298,0.251
"50",299,0.247
"51",300,0.244
"52",301,0.241
"53",302,0.237
"54",303,0.234
"55",304,0.231
"56",305,0.228
"57",306,0.225
"58",307,0.222
"59",308,0.219
"60",309,0.216
"61",310,0.213
"62",311,0.21
"63",312,0.208
"64",313,0.205
"65",314,0.202
"66",315,0.199
"67",316,0.196
"68",317,0.193
"69",318,0.19
"70",319,0.188
"71",320,0.185
"72",321,0.183
"73",322,0.18
"74",323,0.178
"75",324,0.176
"76",325,0.173
"77",326,0.171
"78",327,0.169
"79",328,0.166
"80",329,0.164
"81",330,0.162
"82",331,0.16
"83",332,0.157
"84",333,0.155
"85",334,0.153
"86",335,0.151
"87",336,0.149
"88",337,0.147
"89",338,0.145
"90",339,0.143
"91",340,0.14
"92",341,0.138
"93",342,0.136
"94",343,0.134
"95",344,0.132
"96",345,0.13
"97",346,0.128
"98",347,0.126
"99",348,0.124
"100",349,0.122
"101",350,0.12
"102",351,0.118
"103",352,0.116
"104",353,0.115
"105",354,0.113
"106",355,0.111
"107",356,0.11
"108",357,0.108
"109",358,0.106
"110",359,0.104
"111",360,0.103
"112",361,0.101
"113",362,0.1
"114",363,0.098
"115",364,0.097
"116",365,0.095
"117",366,0.094
"118",367,0.092
"119",368,0.091
"120",369,0.089
"121",370,0.088
"122",371,0.086
"123",372,0.085
"124",373,0.084
"125",374,0.083
"126",375,0.081
"127",376,0.08
"128",377,0.079
"129",378,0.078
"130",379,0.077
"131",380,0.075
"132",381,0.074
"133",382,0.073
"134",383,0.072
"135",384,0.071
"136",385,0.07
"137",386,0.069
"138",387,0.068
"139",388,0.067
"140",389,0.066
"141",390,0.065
"142",391,0.064
"143",392,0.063
"144",393,0.062
"145",394,0.061
"146",395,0.061
"147",396,0.06
"148",397,0.059
"149",398,0.058
"150",399,0.057
"151",400,0.057
"152",401,0.056
"153",402,0.055
"154",403,0.054
"155",404,0.054
"156",405,0.053
"157",406,0.052
"158",407,0.051
"159",408,0.051
"160",409,0.05
"161",410,0.049
"162",411,0.049
"163",412,0.048
"164",413,0.047
"165",414,0.047
"166",415,0.046
"167",416,0.046
"168",417,0.045
"169",418,0.044
"170",419,0.044
"171",420,0.043
"172",421,0.043
"173",422,0.042
"174",423,0.041
"175",424,0.041
"176",425,0.04
"177",426,0.04
"178",427,0.039
"179",428,0.039
"180",429,0.038
"181",430,0.038
"182",431,0.038
"183",432,0.037
"184",433,0.037
"185",434,0.036
"186",435,0.036
"187",436,0.035
"188",437,0.035
"189",438,0.035
"190",439,0.034
"191",440,0.034
"192",441,0.033
"193",442,0.033
"194",443,0.033
"195",444,0.032
"196",445,0.032
"197",446,0.032
"198",447,0.031
"199",448,0.031
"200",449,0.031
"201",450,0.031
"202",451,0.03
"203",452,0.03
"204",453,0.03
"205",454,0.029
"206",455,0.029
"207",456,0.029
"208",457,0.028
"209",458,0.028
"210",459,0.028
"211",460,0.028
"212",461,0.027
"213",462,0.027
"214",463,0.027
"215",464,0.026
"216",465,0.026
"217",466,0.026
"218",467,0.026
"219",468,0.025
"220",469,0.025
"221",470,0.025
"222",471,0.025
"223",472,0.024
"224",473,0.024
"225",474,0.024
"226",475,0.024
"227",476,0.023
"228",477,0.023
"229",478,0.023
"230",479,0.023
"231",480,0.022
"232",481,0.022
"233",482,0.022
"234",483,0.022
"235",484,0.022
"236",485,0.021
"237",486,0.021
"238",487,0.021
"239",488,0.021
"240",489,0.02
"241",490,0.02
"242",491,0.02
"243",492,0.02
"244",493,0.019
"245",494,0.019
"246",495,0.019
"247",496,0.019
"248",497,0.019
"249",498,0.018
"250",499,0.018
"251",500,0.018
"252",501,0.018
"253",502,0.018
"254",503,0.017
"255",504,0.017
"256",505,0.017
"257",506,0.017
"258",507,0.017
"259",508,0.016
"260",509,0.016
"261",510,0.016
"262",511,0.016
"263",512,0.016
"264",513,0.015
"265",514,0.015
"266",515,0.015
"267",516,0.015
"268",517,0.015
"269",518,0.015
"270",519,0.014
"271",520,0.014
"272",521,0.014
"273",522,0.014
"274",523,0.014
"275",524,0.013
"276",525,0.013
"277",526,0.013
"278",527,0.013
"279",528,0.013
"280",529,0.013
"281",530,0.013
"282",531,0.012
"283",532,0.012
"284",533,0.012
"285",534,0.012
"286",535,0.012
"287",536,0.012
"288",537,0.011
"289",538,0.011
"290",539,0.011
"291",540,0.011
"292",541,0.011
"293",542,0.011
"294",543,0.011
"295",544,0.011
"296",545,0.01
"297",546,0.01
"298",547,0.01
"299",548,0.01
"300",549,0.01
"301",550,0.01
"302",551,0.01
"303",552,0.01
"304",553,0.009
"305",554,0.009
"306",555,0.009
"307",556,0.009
"308",557,0.009
"309",558,0.009
"310",559,0.009
"311",560,0.009
"312",561,0.008
"313",562,0.008
"314",563,0.008
"315",564,0.008
"316",565,0.008
"317",566,0.008
"318",567,0.008
"319",568,0.008
"320",569,0.008
"321",570,0.007
"322",571,0.007
"323",572,0.007
"324",573,0.007
"325",574,0.007
"326",575,0.007
"327",576,0.007
"328",577,0.007
"329",578,0.007
"330",579,0.006
"331",580,0.006
"332",581,0.006
"333",582,0.006
"334",583,0.006
"335",584,0.006
"336",585,0.006
"337",586,0.006
"338",587,0.006
"339",588,0.006
"340",589,0.006
"341",590,0.006
"342",591,0.005
"343",592,0.005
"344",593,0.005
"345",594,0.005
"346",595,0.005
"347",596,0.005
"348",597,0.005
"349",598,0.005
"350",599,0.005
"351",600,0.005
"352",601,0.005
"353",602,0.005
"354",603,0.005
"355",604,0.005
"356",605,0.004
"357",606,0.004
"358",607,0.004
"359",608,0.004
"360",609,0.004
"361",610,0.004
"362",611,0.004
"363",612,0.004
"364",613,0.004
"365",614,0.004
"366",615,0.003
"367",616,0.003
"368",617,0.003
"369",618,0.003
"370",619,0.003
"371",620,0.003
"372",621,0.003
"373",622,0.003
"374",623,0.003
"375",624,0.003
"376",625,0.002
"377",626,0.002
"378",627,0.002
"379",628,0.002
"380",629,0.002
"381",630,0.002
"382",631,0.002
"383",632,0.002
"384",633,0.002
"385",634,0.002
"386",635,0.002
"387",636,0.002
"388",637,0.001
"389",638,0.001
"390",639,0.001
"391",640,0.001
"392",641,0.001
"393",642,0.001
"394",643,0.001
"395",644,0.001
"396",645,0.001
"397",646,0.001
"398",647,0.001
"399",648,0.001
"400",649,0.001
"401",650,0.001
"402",651,0.001
"403",652,0.001
"404",653,0.001
"405",654,0.001
"406",655,0.001
"407",656,0
"408",657,0
"409",658,0
"410",659,0
"411",660,0
"412",661,0
"413",662,0
"414",663,0
"415",664,0
"416",665,0
