Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,0-60-B
Sample ID:,1
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 13:54:12
Comments
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.403
251.0,0.400
252.0,0.396
253.0,0.393
254.0,0.390
255.0,0.386
256.0,0.383
257.0,0.380
258.0,0.378
259.0,0.375
260.0,0.372
261.0,0.369
262.0,0.366
263.0,0.363
264.0,0.360
265.0,0.357
266.0,0.354
267.0,0.351
268.0,0.348
269.0,0.345
270.0,0.342
271.0,0.339
272.0,0.336
273.0,0.333
274.0,0.330
275.0,0.327
276.0,0.324
277.0,0.321
278.0,0.318
279.0,0.314
280.0,0.311
281.0,0.308
282.0,0.305
283.0,0.302
284.0,0.298
285.0,0.295
286.0,0.291
287.0,0.288
288.0,0.285
289.0,0.281
290.0,0.278
291.0,0.274
292.0,0.271
293.0,0.268
294.0,0.264
295.0,0.261
296.0,0.257
297.0,0.254
298.0,0.251
299.0,0.247
300.0,0.244
301.0,0.241
302.0,0.237
303.0,0.234
304.0,0.231
305.0,0.228
306.0,0.225
307.0,0.222
308.0,0.219
309.0,0.216
310.0,0.213
311.0,0.210
312.0,0.208
313.0,0.205
314.0,0.202
315.0,0.199
316.0,0.196
317.0,0.193
318.0,0.190
319.0,0.188
320.0,0.185
321.0,0.183
322.0,0.180
323.0,0.178
324.0,0.176
325.0,0.173
326.0,0.171
327.0,0.169
328.0,0.166
329.0,0.164
330.0,0.162
331.0,0.160
332.0,0.157
333.0,0.155
334.0,0.153
335.0,0.151
336.0,0.149
337.0,0.147
338.0,0.145
339.0,0.143
340.0,0.140
341.0,0.138
342.0,0.136
343.0,0.134
344.0,0.132
345.0,0.130
346.0,0.128
347.0,0.126
348.0,0.124
349.0,0.122
350.0,0.120
351.0,0.118
352.0,0.116
353.0,0.115
354.0,0.113
355.0,0.111
356.0,0.110
357.0,0.108
358.0,0.106
359.0,0.104
360.0,0.103
361.0,0.101
362.0,0.100
363.0,0.098
364.0,0.097
365.0,0.095
366.0,0.094
367.0,0.092
368.0,0.091
369.0,0.089
370.0,0.088
371.0,0.086
372.0,0.085
373.0,0.084
374.0,0.083
375.0,0.081
376.0,0.080
377.0,0.079
378.0,0.078
379.0,0.077
380.0,0.075
381.0,0.074
382.0,0.073
383.0,0.072
384.0,0.071
385.0,0.070
386.0,0.069
387.0,0.068
388.0,0.067
389.0,0.066
390.0,0.065
391.0,0.064
392.0,0.063
393.0,0.062
394.0,0.061
395.0,0.061
396.0,0.060
397.0,0.059
398.0,0.058
399.0,0.057
400.0,0.057
401.0,0.056
402.0,0.055
403.0,0.054
404.0,0.054
405.0,0.053
406.0,0.052
407.0,0.051
408.0,0.051
409.0,0.050
410.0,0.049
411.0,0.049
412.0,0.048
413.0,0.047
414.0,0.047
415.0,0.046
416.0,0.046
417.0,0.045
418.0,0.044
419.0,0.044
420.0,0.043
421.0,0.043
422.0,0.042
423.0,0.041
424.0,0.041
425.0,0.040
426.0,0.040
427.0,0.039
428.0,0.039
429.0,0.038
430.0,0.038
431.0,0.038
432.0,0.037
433.0,0.037
434.0,0.036
435.0,0.036
436.0,0.035
437.0,0.035
438.0,0.035
439.0,0.034
440.0,0.034
441.0,0.033
442.0,0.033
443.0,0.033
444.0,0.032
445.0,0.032
446.0,0.032
447.0,0.031
448.0,0.031
449.0,0.031
450.0,0.031
451.0,0.030
452.0,0.030
453.0,0.030
454.0,0.029
455.0,0.029
456.0,0.029
457.0,0.028
458.0,0.028
459.0,0.028
460.0,0.028
461.0,0.027
462.0,0.027
463.0,0.027
464.0,0.026
465.0,0.026
466.0,0.026
467.0,0.026
468.0,0.025
469.0,0.025
470.0,0.025
471.0,0.025
472.0,0.024
473.0,0.024
474.0,0.024
475.0,0.024
476.0,0.023
477.0,0.023
478.0,0.023
479.0,0.023
480.0,0.022
481.0,0.022
482.0,0.022
483.0,0.022
484.0,0.022
485.0,0.021
486.0,0.021
487.0,0.021
488.0,0.021
489.0,0.020
490.0,0.020
491.0,0.020
492.0,0.020
493.0,0.019
494.0,0.019
495.0,0.019
496.0,0.019
497.0,0.019
498.0,0.018
499.0,0.018
500.0,0.018
501.0,0.018
502.0,0.018
503.0,0.017
504.0,0.017
505.0,0.017
506.0,0.017
507.0,0.017
508.0,0.016
509.0,0.016
510.0,0.016
511.0,0.016
512.0,0.016
513.0,0.015
514.0,0.015
515.0,0.015
516.0,0.015
517.0,0.015
518.0,0.015
519.0,0.014
520.0,0.014
521.0,0.014
522.0,0.014
523.0,0.014
524.0,0.013
525.0,0.013
526.0,0.013
527.0,0.013
528.0,0.013
529.0,0.013
530.0,0.013
531.0,0.012
532.0,0.012
533.0,0.012
534.0,0.012
535.0,0.012
536.0,0.012
537.0,0.011
538.0,0.011
539.0,0.011
540.0,0.011
541.0,0.011
542.0,0.011
543.0,0.011
544.0,0.011
545.0,0.010
546.0,0.010
547.0,0.010
548.0,0.010
549.0,0.010
550.0,0.010
551.0,0.010
552.0,0.010
553.0,0.009
554.0,0.009
555.0,0.009
556.0,0.009
557.0,0.009
558.0,0.009
559.0,0.009
560.0,0.009
561.0,0.008
562.0,0.008
563.0,0.008
564.0,0.008
565.0,0.008
566.0,0.008
567.0,0.008
568.0,0.008
569.0,0.008
570.0,0.007
571.0,0.007
572.0,0.007
573.0,0.007
574.0,0.007
575.0,0.007
576.0,0.007
577.0,0.007
578.0,0.007
579.0,0.006
580.0,0.006
581.0,0.006
582.0,0.006
583.0,0.006
584.0,0.006
585.0,0.006
586.0,0.006
587.0,0.006
588.0,0.006
589.0,0.006
590.0,0.006
591.0,0.005
592.0,0.005
593.0,0.005
594.0,0.005
595.0,0.005
596.0,0.005
597.0,0.005
598.0,0.005
599.0,0.005
600.0,0.005
601.0,0.005
602.0,0.005
603.0,0.005
604.0,0.005
605.0,0.004
606.0,0.004
607.0,0.004
608.0,0.004
609.0,0.004
610.0,0.004
611.0,0.004
612.0,0.004
613.0,0.004
614.0,0.004
615.0,0.003
616.0,0.003
617.0,0.003
618.0,0.003
619.0,0.003
620.0,0.003
621.0,0.003
622.0,0.003
623.0,0.003
624.0,0.003
625.0,0.002
626.0,0.002
627.0,0.002
628.0,0.002
629.0,0.002
630.0,0.002
631.0,0.002
632.0,0.002
633.0,0.002
634.0,0.002
635.0,0.002
636.0,0.002
637.0,0.001
638.0,0.001
639.0,0.001
640.0,0.001
641.0,0.001
642.0,0.001
643.0,0.001
644.0,0.001
645.0,0.001
646.0,0.001
647.0,0.001
648.0,0.001
649.0,0.001
650.0,0.001
651.0,0.001
652.0,0.001
653.0,0.001
654.0,0.001
655.0,0.001
656.0,0.000
657.0,0.000
658.0,0.000
659.0,0.000
660.0,0.000
661.0,0.000
662.0,0.000
663.0,0.000
664.0,0.000
665.0,0.000
