Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,20-20-T-3
Sample ID:,3
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 13:12:35
Comments:,Triplicate
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.621
251.0,0.617
252.0,0.613
253.0,0.608
254.0,0.604
255.0,0.599
256.0,0.595
257.0,0.591
258.0,0.586
259.0,0.582
260.0,0.578
261.0,0.573
262.0,0.569
263.0,0.564
264.0,0.560
265.0,0.555
266.0,0.550
267.0,0.545
268.0,0.541
269.0,0.536
270.0,0.531
271.0,0.526
272.0,0.522
273.0,0.517
274.0,0.512
275.0,0.507
276.0,0.502
277.0,0.498
278.0,0.493
279.0,0.488
280.0,0.484
281.0,0.479
282.0,0.474
283.0,0.469
284.0,0.464
285.0,0.460
286.0,0.455
287.0,0.450
288.0,0.445
289.0,0.441
290.0,0.436
291.0,0.431
292.0,0.427
293.0,0.422
294.0,0.417
295.0,0.413
296.0,0.409
297.0,0.404
298.0,0.400
299.0,0.396
300.0,0.392
301.0,0.387
302.0,0.383
303.0,0.379
304.0,0.375
305.0,0.371
306.0,0.368
307.0,0.365
308.0,0.360
309.0,0.356
310.0,0.352
311.0,0.348
312.0,0.345
313.0,0.341
314.0,0.337
315.0,0.333
316.0,0.329
317.0,0.325
318.0,0.321
319.0,0.317
320.0,0.314
321.0,0.310
322.0,0.307
323.0,0.304
324.0,0.300
325.0,0.297
326.0,0.294
327.0,0.290
328.0,0.287
329.0,0.284
330.0,0.280
331.0,0.277
332.0,0.274
333.0,0.271
334.0,0.268
335.0,0.265
336.0,0.262
337.0,0.259
338.0,0.256
339.0,0.253
340.0,0.249
341.0,0.247
342.0,0.244
343.0,0.241
344.0,0.238
345.0,0.235
346.0,0.232
347.0,0.229
348.0,0.227
349.0,0.224
350.0,0.221
351.0,0.218
352.0,0.216
353.0,0.213
354.0,0.211
355.0,0.208
356.0,0.206
357.0,0.203
358.0,0.201
359.0,0.198
360.0,0.195
361.0,0.193
362.0,0.191
363.0,0.188
364.0,0.185
365.0,0.183
366.0,0.180
367.0,0.178
368.0,0.175
369.0,0.173
370.0,0.170
371.0,0.168
372.0,0.165
373.0,0.163
374.0,0.161
375.0,0.158
376.0,0.156
377.0,0.153
378.0,0.151
379.0,0.149
380.0,0.146
381.0,0.144
382.0,0.142
383.0,0.140
384.0,0.138
385.0,0.136
386.0,0.134
387.0,0.131
388.0,0.129
389.0,0.127
390.0,0.126
391.0,0.124
392.0,0.122
393.0,0.120
394.0,0.118
395.0,0.116
396.0,0.115
397.0,0.113
398.0,0.112
399.0,0.110
400.0,0.108
401.0,0.107
402.0,0.105
403.0,0.104
404.0,0.103
405.0,0.101
406.0,0.100
407.0,0.098
408.0,0.097
409.0,0.096
410.0,0.095
411.0,0.093
412.0,0.092
413.0,0.091
414.0,0.090
415.0,0.088
416.0,0.087
417.0,0.086
418.0,0.085
419.0,0.084
420.0,0.083
421.0,0.081
422.0,0.080
423.0,0.079
424.0,0.078
425.0,0.077
426.0,0.076
427.0,0.075
428.0,0.074
429.0,0.073
430.0,0.072
431.0,0.072
432.0,0.071
433.0,0.070
434.0,0.069
435.0,0.068
436.0,0.067
437.0,0.066
438.0,0.066
439.0,0.065
440.0,0.064
441.0,0.063
442.0,0.062
443.0,0.062
444.0,0.061
445.0,0.060
446.0,0.060
447.0,0.059
448.0,0.059
449.0,0.058
450.0,0.057
451.0,0.057
452.0,0.056
453.0,0.056
454.0,0.055
455.0,0.055
456.0,0.054
457.0,0.054
458.0,0.053
459.0,0.053
460.0,0.052
461.0,0.052
462.0,0.051
463.0,0.051
464.0,0.051
465.0,0.050
466.0,0.050
467.0,0.049
468.0,0.049
469.0,0.048
470.0,0.048
471.0,0.048
472.0,0.047
473.0,0.047
474.0,0.046
475.0,0.046
476.0,0.046
477.0,0.045
478.0,0.045
479.0,0.044
480.0,0.044
481.0,0.043
482.0,0.043
483.0,0.043
484.0,0.042
485.0,0.042
486.0,0.041
487.0,0.041
488.0,0.041
489.0,0.040
490.0,0.040
491.0,0.039
492.0,0.039
493.0,0.038
494.0,0.038
495.0,0.038
496.0,0.037
497.0,0.037
498.0,0.036
499.0,0.036
500.0,0.036
501.0,0.035
502.0,0.035
503.0,0.034
504.0,0.034
505.0,0.034
506.0,0.033
507.0,0.033
508.0,0.032
509.0,0.032
510.0,0.032
511.0,0.031
512.0,0.031
513.0,0.031
514.0,0.030
515.0,0.030
516.0,0.029
517.0,0.029
518.0,0.029
519.0,0.028
520.0,0.028
521.0,0.028
522.0,0.027
523.0,0.027
524.0,0.027
525.0,0.026
526.0,0.026
527.0,0.026
528.0,0.026
529.0,0.025
530.0,0.025
531.0,0.025
532.0,0.024
533.0,0.024
534.0,0.024
535.0,0.023
536.0,0.023
537.0,0.023
538.0,0.023
539.0,0.022
540.0,0.022
541.0,0.022
542.0,0.022
543.0,0.021
544.0,0.021
545.0,0.021
546.0,0.021
547.0,0.020
548.0,0.020
549.0,0.020
550.0,0.020
551.0,0.020
552.0,0.019
553.0,0.019
554.0,0.019
555.0,0.019
556.0,0.019
557.0,0.018
558.0,0.018
559.0,0.018
560.0,0.018
561.0,0.018
562.0,0.017
563.0,0.017
564.0,0.017
565.0,0.017
566.0,0.017
567.0,0.016
568.0,0.016
569.0,0.016
570.0,0.016
571.0,0.016
572.0,0.016
573.0,0.015
574.0,0.015
575.0,0.015
576.0,0.015
577.0,0.015
578.0,0.015
579.0,0.014
580.0,0.014
581.0,0.014
582.0,0.014
583.0,0.014
584.0,0.014
585.0,0.014
586.0,0.013
587.0,0.013
588.0,0.013
589.0,0.013
590.0,0.013
591.0,0.013
592.0,0.013
593.0,0.013
594.0,0.013
595.0,0.012
596.0,0.012
597.0,0.012
598.0,0.012
599.0,0.012
600.0,0.012
601.0,0.012
602.0,0.012
603.0,0.012
604.0,0.011
605.0,0.011
606.0,0.011
607.0,0.011
608.0,0.011
609.0,0.011
610.0,0.011
611.0,0.011
612.0,0.011
613.0,0.010
614.0,0.010
615.0,0.010
616.0,0.010
617.0,0.010
618.0,0.010
619.0,0.010
620.0,0.010
621.0,0.009
622.0,0.009
623.0,0.009
624.0,0.009
625.0,0.009
626.0,0.009
627.0,0.009
628.0,0.009
629.0,0.009
630.0,0.008
631.0,0.008
632.0,0.008
633.0,0.008
634.0,0.008
635.0,0.008
636.0,0.008
637.0,0.008
638.0,0.008
639.0,0.008
640.0,0.007
641.0,0.007
642.0,0.007
643.0,0.007
644.0,0.007
645.0,0.007
646.0,0.007
647.0,0.007
648.0,0.007
649.0,0.007
650.0,0.007
651.0,0.006
652.0,0.006
653.0,0.006
654.0,0.006
655.0,0.006
656.0,0.006
657.0,0.006
658.0,0.006
659.0,0.006
660.0,0.006
661.0,0.006
662.0,0.006
663.0,0.006
664.0,0.006
665.0,0.005
