Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,10-80-T
Sample ID:,1
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 14:18:56
Comments
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.383
251.0,0.381
252.0,0.378
253.0,0.375
254.0,0.372
255.0,0.369
256.0,0.366
257.0,0.363
258.0,0.360
259.0,0.357
260.0,0.355
261.0,0.352
262.0,0.349
263.0,0.346
264.0,0.344
265.0,0.341
266.0,0.338
267.0,0.335
268.0,0.333
269.0,0.330
270.0,0.327
271.0,0.325
272.0,0.322
273.0,0.319
274.0,0.317
275.0,0.314
276.0,0.311
277.0,0.309
278.0,0.306
279.0,0.304
280.0,0.301
281.0,0.298
282.0,0.296
283.0,0.293
284.0,0.290
285.0,0.288
286.0,0.285
287.0,0.283
288.0,0.280
289.0,0.278
290.0,0.275
291.0,0.273
292.0,0.270
293.0,0.268
294.0,0.265
295.0,0.263
296.0,0.260
297.0,0.258
298.0,0.255
299.0,0.253
300.0,0.251
301.0,0.248
302.0,0.246
303.0,0.243
304.0,0.241
305.0,0.239
306.0,0.236
307.0,0.234
308.0,0.232
309.0,0.230
310.0,0.227
311.0,0.225
312.0,0.223
313.0,0.221
314.0,0.219
315.0,0.216
316.0,0.214
317.0,0.212
318.0,0.210
319.0,0.208
320.0,0.207
321.0,0.205
322.0,0.203
323.0,0.201
324.0,0.199
325.0,0.198
326.0,0.196
327.0,0.195
328.0,0.193
329.0,0.192
330.0,0.190
331.0,0.188
332.0,0.187
333.0,0.185
334.0,0.184
335.0,0.182
336.0,0.181
337.0,0.179
338.0,0.178
339.0,0.176
340.0,0.175
341.0,0.173
342.0,0.172
343.0,0.170
344.0,0.169
345.0,0.167
346.0,0.166
347.0,0.165
348.0,0.163
349.0,0.162
350.0,0.160
351.0,0.159
352.0,0.157
353.0,0.156
354.0,0.154
355.0,0.153
356.0,0.152
357.0,0.150
358.0,0.148
359.0,0.147
360.0,0.146
361.0,0.144
362.0,0.143
363.0,0.141
364.0,0.139
365.0,0.138
366.0,0.136
367.0,0.134
368.0,0.133
369.0,0.131
370.0,0.130
371.0,0.128
372.0,0.127
373.0,0.125
374.0,0.123
375.0,0.122
376.0,0.120
377.0,0.118
378.0,0.117
379.0,0.115
380.0,0.114
381.0,0.112
382.0,0.111
383.0,0.109
384.0,0.108
385.0,0.106
386.0,0.105
387.0,0.103
388.0,0.102
389.0,0.101
390.0,0.099
391.0,0.098
392.0,0.097
393.0,0.095
394.0,0.094
395.0,0.093
396.0,0.092
397.0,0.090
398.0,0.089
399.0,0.088
400.0,0.087
401.0,0.086
402.0,0.085
403.0,0.084
404.0,0.083
405.0,0.082
406.0,0.080
407.0,0.079
408.0,0.078
409.0,0.077
410.0,0.076
411.0,0.075
412.0,0.074
413.0,0.073
414.0,0.072
415.0,0.071
416.0,0.070
417.0,0.069
418.0,0.068
419.0,0.067
420.0,0.066
421.0,0.065
422.0,0.064
423.0,0.063
424.0,0.062
425.0,0.061
426.0,0.061
427.0,0.060
428.0,0.059
429.0,0.058
430.0,0.057
431.0,0.056
432.0,0.055
433.0,0.054
434.0,0.054
435.0,0.053
436.0,0.052
437.0,0.051
438.0,0.050
439.0,0.050
440.0,0.049
441.0,0.048
442.0,0.048
443.0,0.047
444.0,0.046
445.0,0.046
446.0,0.045
447.0,0.044
448.0,0.044
449.0,0.043
450.0,0.043
451.0,0.042
452.0,0.042
453.0,0.041
454.0,0.041
455.0,0.040
456.0,0.040
457.0,0.039
458.0,0.039
459.0,0.038
460.0,0.038
461.0,0.037
462.0,0.037
463.0,0.036
464.0,0.036
465.0,0.035
466.0,0.035
467.0,0.035
468.0,0.034
469.0,0.034
470.0,0.033
471.0,0.033
472.0,0.033
473.0,0.032
474.0,0.032
475.0,0.031
476.0,0.031
477.0,0.031
478.0,0.030
479.0,0.030
480.0,0.029
481.0,0.029
482.0,0.029
483.0,0.028
484.0,0.028
485.0,0.027
486.0,0.027
487.0,0.027
488.0,0.026
489.0,0.026
490.0,0.025
491.0,0.025
492.0,0.025
493.0,0.024
494.0,0.024
495.0,0.023
496.0,0.023
497.0,0.023
498.0,0.022
499.0,0.022
500.0,0.022
501.0,0.021
502.0,0.021
503.0,0.020
504.0,0.020
505.0,0.020
506.0,0.019
507.0,0.019
508.0,0.019
509.0,0.018
510.0,0.018
511.0,0.018
512.0,0.017
513.0,0.017
514.0,0.017
515.0,0.017
516.0,0.016
517.0,0.016
518.0,0.016
519.0,0.015
520.0,0.015
521.0,0.015
522.0,0.015
523.0,0.014
524.0,0.014
525.0,0.014
526.0,0.013
527.0,0.013
528.0,0.013
529.0,0.013
530.0,0.012
531.0,0.012
532.0,0.012
533.0,0.012
534.0,0.012
535.0,0.011
536.0,0.011
537.0,0.011
538.0,0.011
539.0,0.010
540.0,0.010
541.0,0.010
542.0,0.010
543.0,0.010
544.0,0.010
545.0,0.009
546.0,0.009
547.0,0.009
548.0,0.009
549.0,0.009
550.0,0.009
551.0,0.008
552.0,0.008
553.0,0.008
554.0,0.008
555.0,0.008
556.0,0.008
557.0,0.008
558.0,0.007
559.0,0.007
560.0,0.007
561.0,0.007
562.0,0.007
563.0,0.007
564.0,0.007
565.0,0.006
566.0,0.006
567.0,0.006
568.0,0.006
569.0,0.006
570.0,0.006
571.0,0.006
572.0,0.006
573.0,0.005
574.0,0.005
575.0,0.005
576.0,0.005
577.0,0.005
578.0,0.005
579.0,0.005
580.0,0.005
581.0,0.005
582.0,0.005
583.0,0.004
584.0,0.004
585.0,0.004
586.0,0.004
587.0,0.004
588.0,0.004
589.0,0.004
590.0,0.004
591.0,0.004
592.0,0.004
593.0,0.004
594.0,0.004
595.0,0.003
596.0,0.003
597.0,0.003
598.0,0.003
599.0,0.003
600.0,0.003
601.0,0.003
602.0,0.003
603.0,0.003
604.0,0.003
605.0,0.003
606.0,0.003
607.0,0.003
608.0,0.003
609.0,0.002
610.0,0.002
611.0,0.002
612.0,0.002
613.0,0.002
614.0,0.002
615.0,0.002
616.0,0.002
617.0,0.002
618.0,0.002
619.0,0.002
620.0,0.002
621.0,0.002
622.0,0.001
623.0,0.001
624.0,0.001
625.0,0.001
626.0,0.001
627.0,0.001
628.0,0.001
629.0,0.001
630.0,0.001
631.0,0.001
632.0,0.001
633.0,0.001
634.0,0.001
635.0,0.001
636.0,0.000
637.0,0.000
638.0,0.000
639.0,0.000
640.0,0.000
641.0,0.000
642.0,0.000
643.0,0.000
644.0,0.000
645.0,0.000
646.0,-0.000
647.0,-0.000
648.0,-0.000
649.0,-0.000
650.0,-0.000
651.0,-0.000
652.0,-0.000
653.0,-0.000
654.0,-0.000
655.0,-0.000
656.0,-0.000
657.0,-0.000
658.0,-0.001
659.0,-0.001
660.0,-0.001
661.0,-0.001
662.0,-0.001
663.0,-0.001
664.0,-0.001
665.0,-0.001
