eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
comp 1;5.2518;58.3538;58.3538;
comp 2;2.0881;23.201;81.5548;
comp 3;0.6578;7.3087;88.8634;
comp 4;0.3872;4.302;93.1655;
comp 5;0.27;3.0002;96.1656;
comp 6;0.1614;1.7928;97.9584;
comp 7;0.1466;1.6287;99.5871;
comp 8;0.0372;0.4129;100;
comp 9;0;0;100;

var
coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
20-20;0.6979;0.1595;0;3e-04;0.1182;
20-30;0.0025;0.4598;0.4337;0.005;0.0031;
20-50;0.8084;0.1592;0.0025;8e-04;0.0267;
20-60;0.6602;0.1917;0.0224;0.1233;7e-04;
20-70;0.6217;0.2009;0.0794;0.0607;0.0011;
20-80;0.9256;0.0059;0.0204;0.0086;0.0018;
20-90;0.5807;0.0201;0.1973;0.0497;0.0663;
20-100;0.6764;0.2492;0.0011;0.0553;0.0097;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
0-10;0.2889;3.4223;0.3429;3.0543;0.965;
0-20;0.6201;0.9241;0.4169;1.458;0.0418;
0-30;0.9268;3.017;0.0041;0.265;1.3364;
0-40;3.2369;0.1871;1.8329;4.2096;0.0067;
0-50;2.3072;0.3114;0.549;0.0175;1.3333;
0-60;4.6053;9e-04;4.6436;0.4495;0.8264;
0-70;5.5729;0.0027;2.1083;5.3042;2.9684;
0-80;2.2974;0.1165;7.6716;0.0246;2.3811;
0-90;0.1493;0.1911;0.9167;3.1993;1.0607;
0-100;0.3312;1.4957;4.071;3.0044;0.0099;
10-0;3.1753;6.7182;18.0348;3.2701;1.7881;
10-10;17.1169;10.622;0.3057;0.1755;0.3408;
10-20;1.634;11.1493;0.0754;2.3979;0.0093;
10-30;1.2985;4.5853;2.163;0.1236;0.4587;
10-40;8.2849;5.3422;4.8936;5.579;4.7889;
10-50;8.263;4.0402;0.5627;0.3252;20.8613;
10-60;0.0563;4.3634;1.4748;8.3019;1.9758;
10-70;1.9942;1.2864;8.5632;0.0028;28.983;
10-80;4.9045;1.1704;0.005;5.2435;1.5374;
10-90;0.8334;20.2768;6.1662;0.6581;2.2322;
10-100;5.3465;0.8848;5.1013;12.9744;11.0565;
20-10;0;1.2532;10.2511;6.1928;5.0599;
20-20;0.6588;0.3787;3e-04;0.0038;2.1696;
20-30;0.004;1.8504;5.5413;0.1093;0.0963;
20-50;3.2866;1.628;0.0827;0.0453;2.1143;
20-60;6.8274;4.9868;1.8496;17.2897;0.1487;
20-70;6.8989;5.6063;7.0355;9.1366;0.248;
20-80;3.0281;0.0487;0.5323;0.3836;0.1142;
20-90;1.7504;0.1526;4.7478;2.0317;3.8845;
20-100;4.3024;3.9872;0.0566;4.769;1.2029;

dist
1.78515;1.39671;1.891683;2.531946;2.036955;2.927218;3.186326;2.356643;1.075458;1.766969;3.776246;5.962267;3.205476;2.33562;4.342586;4.18982;2.250011;2.965556;3.044742;3.973477;3.554901;2.132292;1.219543;1.587789;2.530908;4.036581;4.181449;2.270397;2.179326;3.165775;
svd
vs
2.291689;1.445024;0.8110358;0.6222387;0.5196293;0.401687;0.3828612;0.1927666;4.924716e-16;
U
   ;
;-0.2944;-1.0133;0.3207;0.9572;-0.538;
;0.4313;-0.5265;-0.3536;-0.6614;-0.112;
;-0.5273;-0.9514;-0.035;0.282;-0.6332;
;-0.9854;-0.2369;-0.7415;1.1238;-0.0449;
;-0.832;-0.3056;-0.4058;0.0725;-0.6324;
;-1.1754;0.0168;-1.1803;0.3672;-0.4979;
;-1.293;-0.0283;-0.7953;1.2614;-0.9437;
;-0.8302;-0.187;-1.5171;0.0859;-0.8452;
