"formulae...1","statistic...2","p.value","parameter","method...5","method...6","n","effsize.Kruskal-Wallis chi-squared","magnitude","formulae...10",".y.","group1","group2","n1","n2","statistic...16","p","p.adj","p.adj.signif"
"mn_ppb ~ x",16.6968475073314,0.000236769431398401,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.489894916911045","3","mn_ppb ~ x","mn_ppb","0","10",10,11,7,0.000255,0.000765,"***"
"mn_ppb ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"mn_ppb ~ x","mn_ppb","0","20",10,10,25,0.063,0.189,"ns"
"mn_ppb ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"mn_ppb ~ x","mn_ppb","10","20",11,10,101,0.00055,0.002,"**"
"moisture ~ x",10.2020661157025,0.00609045152573909,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.273402203856749","3","moisture ~ x","moisture","0","10",10,11,97,0.002,0.006,"**"
"moisture ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"moisture ~ x","moisture","0","20",10,11,52,0.863,1,"ns"
"moisture ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"moisture ~ x","moisture","10","20",11,11,22,0.01,0.031,"*"
"om ~ x",15.083137829912,0.000530564557795986,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.436104594330402","3","om ~ x","om","0","10",10,11,107,3.97e-05,0.000119,"***"
"om ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"om ~ x","om","0","20",10,10,42,0.579,1,"ns"
"om ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"om ~ x","om","10","20",11,10,13,0.002,0.006,"**"
"ph ~ x",15.7480731823687,0.000380495353924813,2,"Kruskal-Wallis rank sum test","eta2[H]","33","0.458269106078957","3","ph ~ x","ph","0","10",10,11,10,0.002,0.005,"**"
"ph ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"ph ~ x","ph","0","20",10,10,70.5,0.13,0.39,"ns"
"ph ~ x",NA,NA,NA,NA,NA,NA,NA,NA,"ph ~ x","ph","10","20",11,10,102.5,0.000931,0.003,"**"
