Sample,,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,number,Data File,Acq. Date-Time,Type,Level,Sample Name,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 562.55 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 5.07 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 584.98 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 159.39 is outside the allowed range [80.00, 120.00]",FALSE,15,013SMPL.d,16/11/2023 11:51,Sample,,blk,358.67,9.8,850.06,18.9,12582.58,3.9,570.04,23.2,167,2.6,15228.45,4.8,132257.44,5.1,1216.77,2.5
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 7.74 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 628.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 5.34 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 671.37 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 175.99 is outside the allowed range [80.00, 120.00]",FALSE,16,014SMPL.d,16/11/2023 11:53,Sample,,m6 x100 x100,1474.78,3,11368.11,4.8,173578.07,1.3,4824.32,3.3,25775.4,1.6,17013.83,7.7,151788.8,5.3,1343.46,2.3
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1644.32 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1708.29 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 333.21 is outside the allowed range [80.00, 120.00]",FALSE,17,015SMPL.d,16/11/2023 12:12,Sample,,blk,365.34,5.4,2974.82,157.2,13316.49,1.5,663.37,22,16.67,30.2,44512.22,2.8,386224.16,2.7,2543.67,7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1810.46 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1886.67 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 462.93 is outside the allowed range [80.00, 120.00]",FALSE,18,016SMPL.d,16/11/2023 12:14,Sample,,0-10-T,124383.24,0.3,712110.22,2.4,10692970.26,0.4,276623.07,1.4,3737.17,1.4,49009.82,3.1,426554.58,2.9,3533.95,3.3
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1914.26 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1993.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 494.39 is outside the allowed range [80.00, 120.00]",FALSE,19,017SMPL.d,16/11/2023 12:16,Sample,,0-20-T,189711.42,1.5,1922096.74,1.2,24942317.13,2.2,643767.06,1.7,8398.14,2.4,51819.63,2.8,450635.99,2.8,3774.06,7.2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2032.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2089.73 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 483.90 is outside the allowed range [80.00, 120.00]",FALSE,20,018SMPL.d,16/11/2023 12:17,Sample,,0-30-T,81549.64,1.1,132889.63,2.7,4860461.91,1.4,125131.42,1.5,1000.37,4.1,55028.08,2.8,472463.03,4,3693.99,5.2
"55  Mn  [ He ] :  CPS RSD value = 5.14 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2053.05 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2146.26 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 503.56 is outside the allowed range [80.00, 120.00]",FALSE,21,019SMPL.d,16/11/2023 12:19,Sample,,0-40-T,155242.21,0.5,85485.96,5.1,5968376.16,0.7,153702.78,1.2,1559.76,1.4,55576.77,2.7,485245.67,2.7,3844.04,7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2239.60 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2309.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 572.14 is outside the allowed range [80.00, 120.00]",FALSE,22,020SMPL.d,16/11/2023 12:21,Sample,,0-60-T,106203.48,1.1,35828.4,3,3021591.83,2.7,77729.65,2.9,1950.47,1.5,60626.77,2.3,522091.83,1.3,4367.57,5.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2330.86 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2409.89 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 564.71 is outside the allowed range [80.00, 120.00]",FALSE,23,021SMPL.d,16/11/2023 12:22,Sample,,0-70-T,84503.32,1.3,41437.02,4.9,10662821.09,0.8,274321.94,0.3,3229.7,4,63097.18,3.6,544848.33,1.4,4310.87,3
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2425.36 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2513.06 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 572.13 is outside the allowed range [80.00, 120.00]",FALSE,24,022SMPL.d,16/11/2023 12:24,Sample,,0-80-T,63265.78,0.7,41684.29,2.2,11722978.99,0.5,302113.4,1.1,2666.93,2.9,65655.21,3.6,568173.23,2.8,4367.54,5.7
