Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 7.74 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 628.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 5.34 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 671.37 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 175.99 is outside the allowed range [80.00, 120.00]",False,014SMPL.d,16/11/2023 11:53:15,Sample,,m6 x100 x100,<0.000,N/A,1.125,5.5,9.288,1.7,9.938,4.3,9.430,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1644.32 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1708.29 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 333.21 is outside the allowed range [80.00, 120.00]",False,015SMPL.d,16/11/2023 12:12:57,Sample,,blk,<0.000,N/A,0.176,300.1,<0.000,N/A,<0.000,N/A,<0.000,N/A,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1810.46 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1886.67 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 462.93 is outside the allowed range [80.00, 120.00]",False,016SMPL.d,16/11/2023 12:14:34,Sample,,0-10-T,288.518,0.3,80.323,2.4,724.915,0.4,743.096,1.4,1.357,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1914.26 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1993.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 494.39 is outside the allowed range [80.00, 120.00]",False,017SMPL.d,16/11/2023 12:16:13,Sample,,0-20-T,442.006,1.5,217.077,1.2,1694.288,2.2,1733.441,1.7,3.065,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2032.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2089.73 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 483.90 is outside the allowed range [80.00, 120.00]",False,018SMPL.d,16/11/2023 12:17:48,Sample,,0-30-T,187.881,1.1,14.859,2.7,328.133,1.4,334.458,1.5,0.355,4.2,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 5.14 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2053.05 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2146.26 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 503.56 is outside the allowed range [80.00, 120.00]",False,019SMPL.d,16/11/2023 12:19:30,Sample,,0-40-T,361.021,0.5,9.502,5.2,403.504,0.7,411.527,1.2,0.560,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2239.60 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2309.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 572.14 is outside the allowed range [80.00, 120.00]",False,020SMPL.d,16/11/2023 12:21:07,Sample,,0-60-T,245.805,1.2,3.889,3.1,203.036,2.7,206.595,2.9,0.703,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2330.86 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2409.89 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 564.71 is outside the allowed range [80.00, 120.00]",False,021SMPL.d,16/11/2023 12:22:44,Sample,,0-70-T,194.821,1.3,4.523,5.1,722.864,0.8,736.889,0.3,1.171,4.0,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2425.36 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2513.06 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 572.13 is outside the allowed range [80.00, 120.00]",False,022SMPL.d,16/11/2023 12:24:21,Sample,,0-80-T,144.924,0.7,4.551,2.3,794.986,0.5,811.854,1.1,0.965,2.9,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2571.95 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2651.99 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 638.54 is outside the allowed range [80.00, 120.00]",False,023SMPL.d,16/11/2023 12:26:02,Sample,,0-90-T,563.485,1.8,76.206,2.4,1256.372,1.3,1297.223,2.2,2.004,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2693.95 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2788.15 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 623.24 is outside the allowed range [80.00, 120.00]",False,024SMPL.d,16/11/2023 12:27:39,Sample,,0-100-T,333.598,0.9,180.920,2.0,767.214,1.2,787.201,1.0,1.172,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2874.67 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2937.20 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 647.29 is outside the allowed range [80.00, 120.00]",False,025SMPL.d,16/11/2023 12:29:15,Sample,,0-10-B,1802.541,0.7,152.108,1.9,1066.188,1.1,1100.252,1.1,3.552,2.1,,,,,,
