Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6235.70 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5924.56 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1115.63 is outside the allowed range [80.00, 120.00]",False,046SMPL.d,16/11/2023 13:16:17,Sample,,20-30-T,676.299,1.2,299.770,1.7,2741.336,1.0,2789.236,0.8,5.243,0.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 11.33 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5698.03 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 10.79 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5561.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 79.79 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1962.34 is outside the allowed range [80.00, 120.00]",False,047SMPL.d,16/11/2023 13:17:55,Sample,,10-0-T,1070.795,1.6,776.628,3.6,3908.234,1.9,3971.705,1.3,5.722,1.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6306.07 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6026.19 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1169.80 is outside the allowed range [80.00, 120.00]",False,048SMPL.d,16/11/2023 13:19:37,Sample,,10-10-T,1580.835,0.5,1397.185,1.0,5905.572,0.3,5923.085,0.7,13.693,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6314.62 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6081.04 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1147.08 is outside the allowed range [80.00, 120.00]",False,049SMPL.d,16/11/2023 13:21:15,Sample,,10-20-T,145.379,0.9,207.418,3.0,305.930,0.6,310.769,0.6,0.633,1.0,,,,,,
"56  Fe  [ He ] :  CPS RSD value = 6.07 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6288.10 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6060.34 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1104.28 is outside the allowed range [80.00, 120.00]",False,050SMPL.d,16/11/2023 13:27:54,Sample,,blk ,<0.000,N/A,0.144,12.5,2.649,11.8,3.651,15.2,0.001,270.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6344.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6135.81 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1105.24 is outside the allowed range [80.00, 120.00]",False,051SMPL.d,16/11/2023 13:29:33,Sample,,100 ppb check,124.731,1.7,120.102,1.3,112.116,1.5,110.807,2.6,102.271,1.3,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6531.51 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 6.13 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6449.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1244.12 is outside the allowed range [80.00, 120.00]",False,052SMPL.d,16/11/2023 13:31:11,Sample,,10-30-T,522.352,0.7,155.127,3.2,1322.647,1.2,1347.032,1.1,3.165,1.0,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6684.39 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6881.45 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1212.20 is outside the allowed range [80.00, 120.00]",False,053SMPL.d,16/11/2023 13:32:49,Sample,,10-40-T,1618.259,1.0,603.852,1.7,5780.568,1.1,5829.524,0.2,16.541,0.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6709.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 7.50 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6597.05 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1267.72 is outside the allowed range [80.00, 120.00]",False,054SMPL.d,16/11/2023 13:34:31,Sample,,10-50-T,765.802,1.3,1021.770,1.5,6092.808,0.9,6168.282,0.2,14.770,0.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6639.84 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 8.34 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6671.67 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1285.61 is outside the allowed range [80.00, 120.00]",False,055SMPL.d,16/11/2023 13:36:09,Sample,,10-80-T,677.062,2.1,460.811,3.6,1810.033,1.8,1822.559,1.3,4.497,1.3,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6799.58 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7007.90 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1233.16 is outside the allowed range [80.00, 120.00]",False,056SMPL.d,16/11/2023 13:37:47,Sample,,10-100-T,664.438,0.6,295.637,1.0,1433.856,0.5,1446.859,1.0,2.916,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7052.25 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6848.77 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1093.77 is outside the allowed range [80.00, 120.00]",False,057SMPL.d,16/11/2023 13:39:25,Sample,,10-90-T,33.819,2.0,131.948,0.8,39.186,3.0,41.315,3.8,0.138,2.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7042.88 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7287.33 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1280.35 is outside the allowed range [80.00, 120.00]",False,058SMPL.d,16/11/2023 13:41:08,Sample,,10-60-T,560.015,0.5,136.545,1.9,504.682,0.5,503.017,0.9,5.324,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7093.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7390.53 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1287.36 is outside the allowed range [80.00, 120.00]",False,059SMPL.d,16/11/2023 13:42:46,Sample,,10-70-T,585.811,1.8,461.539,1.2,6354.016,1.4,6348.131,3.0,13.734,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7113.01 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7333.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1363.90 is outside the allowed range [80.00, 120.00]",False,060SMPL.d,16/11/2023 13:44:23,Sample,,10-0-B,385.039,0.3,597.434,1.0,1296.310,0.4,1315.461,0.4,2.560,0.9,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7242.19 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7481.51 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1349.44 is outside the allowed range [80.00, 120.00]",False,061SMPL.d,16/11/2023 13:46:00,Sample,,10-20-B,489.478,1.2,541.745,3.6,1182.166,1.4,1190.613,1.2,2.982,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6944.93 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7283.70 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1258.54 is outside the allowed range [80.00, 120.00]",False,062SMPL.d,16/11/2023 13:47:42,Sample,,blk ,1.477,23.5,0.662,8.4,9.690,1.8,10.307,10.9,0.016,13.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 28.07 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7086.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 32.04 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7267.05 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1224.44 is outside the allowed range [80.00, 120.00]",False,063SMPL.d,16/11/2023 13:49:20,Sample,,100 ppb check,127.307,4.8,121.051,4.7,119.088,4.3,117.183,4.4,102.270,4.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7352.98 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7572.16 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1374.75 is outside the allowed range [80.00, 120.00]",False,064SMPL.d,16/11/2023 13:50:58,Sample,,10-80-B,2615.917,1.4,1373.459,2.0,4549.005,1.1,4605.885,1.3,13.519,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7267.86 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7535.41 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1256.32 is outside the allowed range [80.00, 120.00]",False,065SMPL.d,16/11/2023 13:52:35,Sample,,10-90-B,98.894,2.9,126.634,1.6,103.580,1.0,103.153,1.7,0.292,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7295.68 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7665.68 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1370.39 is outside the allowed range [80.00, 120.00]",False,066SMPL.d,16/11/2023 13:54:17,Sample,,10-10-B,1072.805,1.4,2206.911,1.6,3990.471,1.1,4035.074,1.5,11.296,0.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7425.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7705.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1362.52 is outside the allowed range [80.00, 120.00]",False,067SMPL.d,16/11/2023 13:55:54,Sample,,10-50-B,1096.671,1.3,323.856,3.4,2588.219,1.0,2586.667,1.5,20.798,1.1,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7435.64 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7723.01 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1369.50 is outside the allowed range [80.00, 120.00]",False,068SMPL.d,16/11/2023 13:57:33,Sample,,10-60-B,2736.638,1.0,212.734,1.8,6767.283,1.2,6762.273,0.8,42.937,0.9,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7459.60 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7760.73 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1387.89 is outside the allowed range [80.00, 120.00]",False,069SMPL.d,16/11/2023 13:59:09,Sample,,10-70-B,619.253,1.3,272.190,2.6,2042.566,1.2,2033.416,1.2,4.535,2.0,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7398.22 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7704.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1331.05 is outside the allowed range [80.00, 120.00]",False,070SMPL.d,16/11/2023 14:00:51,Sample,,10-100-B,540.931,1.3,141.291,0.6,1132.194,0.9,1133.327,0.9,2.471,2.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7530.53 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7813.42 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 7.89 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1342.41 is outside the allowed range [80.00, 120.00]",False,071SMPL.d,16/11/2023 14:02:30,Sample,,20-10-T,1104.940,1.1,34.539,4.7,3369.572,1.1,3367.544,0.8,1.719,2.3,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7490.31 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7801.53 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 8.09 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1338.04 is outside the allowed range [80.00, 120.00]",False,072SMPL.d,16/11/2023 14:04:08,Sample,,20-50-T,618.055,1.7,51.668,4.1,756.078,1.6,754.290,0.8,6.654,2.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7462.05 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7627.01 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1379.16 is outside the allowed range [80.00, 120.00]",False,073SMPL.d,16/11/2023 14:05:46,Sample,,20-70-B,365.232,1.1,14.668,1.7,304.759,0.9,302.402,0.1,0.895,1.1,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7301.11 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7719.96 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1245.40 is outside the allowed range [80.00, 120.00]",False,074SMPL.d,16/11/2023 14:07:29,Sample,,20-60-B,253.225,3.1,17.646,3.9,235.304,2.2,234.629,2.8,4.621,0.9,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 5.87 is over the allowed maximum = 5.0057  Fe  [ He ] :  CPS RSD value = 5.90 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7352.19 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7743.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1293.06 is outside the allowed range [80.00, 120.00]",False,075SMPL.d,16/11/2023 14:09:07,Sample,,20-80-B,219.390,1.7,8.034,6.0,30.281,2.4,28.661,6.5,0.316,1.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7395.06 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7712.15 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1324.95 is outside the allowed range [80.00, 120.00]",False,076SMPL.d,16/11/2023 14:10:45,Sample,,20-90-T,398.208,1.3,45.546,3.0,383.996,0.4,382.239,2.6,0.876,1.9,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 5.63 is over the allowed maximum = 5.0056  Fe  [ He ] :  CPS RSD value = 5.79 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7357.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7868.70 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1282.07 is outside the allowed range [80.00, 120.00]",False,077SMPL.d,16/11/2023 14:12:23,Sample,,DI H2O,<0.000,N/A,1.352,6.3,4.469,9.1,6.026,15.2,0.017,14.8,,,,,,
"56  Fe  [ He ] :  CPS RSD value = 5.53 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7403.16 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7762.21 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1401.26 is outside the allowed range [80.00, 120.00]",False,078SMPL.d,16/11/2023 14:14:06,Sample,,blk,4.712,2.9,0.643,4.5,10.048,6.9,10.631,2.7,0.209,5.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7481.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7716.10 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1231.85 is outside the allowed range [80.00, 120.00]",False,079SMPL.d,16/11/2023 14:15:44,Sample,,100 ppb check,126.700,2.8,118.677,2.2,116.724,3.8,115.652,4.5,100.250,2.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7345.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8102.91 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 9.17 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1373.47 is outside the allowed range [80.00, 120.00]",False,082SMPL.d,16/11/2023 14:20:43,Sample,,blk,<0.000,N/A,0.729,4.3,10.765,2.8,11.503,6.8,9.513,2.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7331.14 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8208.94 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1293.48 is outside the allowed range [80.00, 120.00]",False,083SMPL.d,16/11/2023 14:22:22,Sample,,blk,<0.000,N/A,0.332,2.3,5.265,5.6,6.016,8.7,3.566,1.2,,,,,,
"56  Fe  [ He ] :  CPS RSD value = 5.26 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7408.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8056.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1241.47 is outside the allowed range [80.00, 120.00]",False,084SMPL.d,16/11/2023 14:23:59,Sample,,blk,<0.000,N/A,0.139,11.4,3.226,9.4,3.138,13.2,2.080,0.8,,,,,,
