Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1644.32 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1708.29 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 333.21 is outside the allowed range [80.00, 120.00]",False,015SMPL.d,16/11/2023 12:12:57,Sample,,blk,<0.000,N/A,0.172,300.1,<0.000,N/A,<0.000,N/A,<0.000,N/A,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1810.46 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1886.67 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 462.93 is outside the allowed range [80.00, 120.00]",False,016SMPL.d,16/11/2023 12:14:34,Sample,,0-10-T,277.270,0.3,78.506,2.4,745.162,0.4,746.449,1.4,1.439,1.4,,,,,,
"56  Fe  [ He ] :  Concentration value = 1741.61 is over the calibration range57  Fe  [ He ] :  Concentration value = 1741.26 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1914.26 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1993.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 494.39 is outside the allowed range [80.00, 120.00]",False,017SMPL.d,16/11/2023 12:16:13,Sample,,0-20-T,424.773,1.5,212.167,1.2,1741.609,2.2,1741.262,1.7,3.250,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2032.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2089.73 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 483.90 is outside the allowed range [80.00, 120.00]",False,018SMPL.d,16/11/2023 12:17:48,Sample,,0-30-T,180.556,1.1,14.523,2.7,337.298,1.4,335.967,1.5,0.376,4.2,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 5.14 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2053.05 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2146.26 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 503.56 is outside the allowed range [80.00, 120.00]",False,019SMPL.d,16/11/2023 12:19:30,Sample,,0-40-T,346.946,0.5,9.287,5.2,414.774,0.7,413.384,1.2,0.593,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2239.60 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2309.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 572.14 is outside the allowed range [80.00, 120.00]",False,020SMPL.d,16/11/2023 12:21:07,Sample,,0-60-T,236.222,1.2,3.801,3.1,208.707,2.7,207.527,2.9,0.745,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2330.86 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2409.89 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 564.71 is outside the allowed range [80.00, 120.00]",False,021SMPL.d,16/11/2023 12:22:44,Sample,,0-70-T,187.225,1.3,4.421,5.1,743.053,0.8,740.213,0.3,1.242,4.0,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2425.36 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2513.06 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 572.13 is outside the allowed range [80.00, 120.00]",False,022SMPL.d,16/11/2023 12:24:21,Sample,,0-80-T,139.274,0.7,4.448,2.3,817.190,0.5,815.517,1.1,1.023,2.9,,,,,,
"56  Fe  [ He ] :  Concentration value = 1291.46 is over the calibration range57  Fe  [ He ] :  Concentration value = 1303.08 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2571.95 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2651.99 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 638.54 is outside the allowed range [80.00, 120.00]",False,023SMPL.d,16/11/2023 12:26:02,Sample,,0-90-T,541.516,1.8,74.482,2.4,1291.463,1.3,1303.075,2.2,2.125,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2693.95 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 2788.15 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 623.24 is outside the allowed range [80.00, 120.00]",False,024SMPL.d,16/11/2023 12:27:39,Sample,,0-100-T,320.592,0.9,176.827,2.0,788.642,1.2,790.752,1.0,1.243,1.6,,,,,,
