x,y,B_T,lat,lon,elev,sample_collect,moisture_content_wet_g_g,moisture_content_wet_%,OM_g,OM_%,MF_%,ph,ICP_dilution_factor,55_Mn_CPS,55_Mn_calc_conc_undil_ppb,55_Mn_meas_conc_undil_ppb,75_As_CPS,75_As_calc_conc_undil_ppb,75_As_meas_conc_undil_ppb,27_Al_CPS,27_Al_calc_conc_undil_ppb,27_Al_meas_conc_undil_ppb,56_Fe_CPS,56_Fe_calc_conc_undil_ppb,56_Fe_meas_conc_undil_ppb,57_Fe_CPS,57_Fe_calc_conc_undil_ppb,57_Fe_meas_conc_undil_ppb,IC_dilution_factor,peak_Cl_area_usmin,c_Cl_calc_undil_ppm,c_Cl_measure_undil_ppm,peak_Nitrite_area_usmin,c_Nitrite_calc_undil_ppm,c_Nitrite_measure_undil_ppm,peak_Nitrate_area_usmin,c_Nitrate_calc_undil_ppm,c_Nitrate_measure_undil_ppm,peak_SO4_area_usmin,c_SO4_calc_undil_ppm,c_SO4_measure_undil_ppm,254_fin_corr,365_fin_corr,E2_254_corr/E3_corr,undil_DOC_ABC_254_mg_L
0,30,B,55.250139,-4.484643,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,40,B,55.25006996,-4.484717008,441.845154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,50,B,55.24994499,-4.484790014,349.35733,1,0.7947,79.4684,0.6547,65.4708,34.5292,4.16,5,11448.25,NA,NA,962.04,NA,NA,137848.80,1467.23,1600.78,3310391.72,446.64,1113.42,85446.60,450.64,1137.06,5.0000,0.2334,NA,NA,NA,NA,NA,0.2242,8.5718,9.5425,0.1067,4.6316,4.9910,0.503,0.150,3.357,29.450
0,60,B,55.249875,-4.484792026,342.237671,1,0.8455,84.5458,0.8793,87.9303,12.0697,4.05,5,25406.39,-1.63,13.25,1599.10,NA,NA,94534.26,957.54,1091.95,1607634.56,-225.69,534.23,40931.97,-246.86,536.68,5.0000,0.2478,NA,NA,NA,NA,NA,NA,NA,NA,0.1251,5.0353,5.0360,0.409,0.112,3.663,26.947
0,70,B,55.24976897,-4.484817004,312.739471,1,0.8060,80.6032,NA,NA,NA,4.26,10,28131.54,-0.25,29.51,679.35,NA,NA,30521.31,408.56,679.91,485914.60,-1337.22,305.36,12789.41,-1375.65,314.23,10.0000,0.1063,NA,NA,NA,NA,NA,NA,NA,NA,0.0636,NA,NA,0.348,0.091,3.829,24.187
0,80,B,55.24969001,-4.484905014,337.297089,1,0.6735,67.3468,0.3058,30.5775,69.4225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,90,B,55.24961097,-4.484949019,371.585449,1,0.6613,66.1263,0.2727,27.2660,72.7340,4.93,5,1303082.09,706.84,718.94,79350.57,153.21,154.05,1046738.79,12162.41,12277.90,163574574.23,63727.49,55626.72,4026003.07,62195.26,54283.94,5.0000,0.3970,8.4727,7.6410,NA,NA,NA,0.1823,6.7719,7.7680,0.0619,3.0572,3.4260,1.535,0.593,2.590,50.053
0,100,B,55.24963796,-4.484948013,343.086823,1,0.6069,60.6946,0.2207,22.0728,77.9272,5.31,5,795398.92,425.33,438.54,1733.11,NA,NA,120450.97,1262.51,1396.40,7774978.84,2209.50,2632.03,202763.90,2288.89,2719.33,5.0000,0.3747,8.2259,8.1325,NA,NA,NA,0.0338,-0.4411,1.3915,0.0775,3.3079,3.3085,0.369,0.125,2.948,6.367
10,0,T,55.250359,-4.484305,NA,1,0.8744,87.4415,0.4791,47.9100,52.0900,6.48,5,6872950.11,3795.33,3795.30,15652.21,NA,NA,457339.98,5226.78,5353.98,57486320.81,21838.19,19541.17,1473543.36,22200.74,19858.53,5.0000,0.4274,9.5891,9.4965,NA,NA,NA,0.0147,NA,0.5600,0.0119,NA,NA,0.575,0.197,2.921,26.309
10,10,T,55.250242,-4.484348,NA,1,0.6433,64.3306,0.1665,16.6462,83.3538,5.70,5,12363584.82,6839.88,6827.90,37412.18,71.74,72.60,674425.63,7781.29,7904.18,86846285.37,33431.07,29527.86,2196965.44,33536.05,29615.43,5.0000,0.4029,8.6208,7.7930,NA,NA,NA,0.2340,8.9928,9.9570,0.0464,2.5125,2.8825,1.153,0.490,2.351,25.063
10,20,T,55.250151,-4.484407,NA,1,0.5587,55.8668,0.1513,15.1271,84.8729,5.66,5,1836635.13,1002.69,1013.63,1759.11,NA,NA,63459.59,591.87,726.90,4534087.02,929.82,1529.65,116349.48,934.86,1553.85,5.0000,0.3981,8.5003,7.6695,NA,NA,NA,0.2545,9.8734,10.8240,0.0532,2.7514,3.1225,0.207,0.064,3.230,4.497
10,30,T,55.25008698,-4.484520033,328.906189,1,0.5786,57.8591,0.1809,18.0861,81.9139,4.93,5,1373970.76,746.14,758.09,8672.63,NA,NA,223908.57,2479.92,2611.76,19479370.13,6831.02,6613.24,500515.96,6954.37,6735.16,5.0000,0.4074,8.7337,7.9060,NA,NA,NA,0.1595,5.7925,6.8035,0.0820,3.7636,4.1280,0.358,0.113,3.164,19.366
10,40,T,55.25002504,-4.484605026,341.684265,1,0.6665,66.6531,0.1759,17.5857,82.4143,5.31,5,5344242.52,2947.66,2950.96,45186.41,86.84,87.70,690354.27,7968.73,8091.30,85008788.73,32705.53,28902.84,2162279.86,32992.56,29147.62,5.0000,0.3895,8.2845,7.4525,0.0247,NA,NA,0.1491,5.3458,6.3620,0.1303,5.4610,5.8155,1.128,0.413,2.732,43.366
10,50,T,55.24993904,-4.484660011,346.042572,1,0.7205,72.0499,0.2154,21.5422,78.4578,5.71,5,9041950.91,4998.04,4993.29,40350.76,77.45,78.31,327527.30,3699.24,3829.01,89598578.66,34517.82,30464.04,2287865.54,34960.37,30841.41,5.0000,0.3562,NA,NA,NA,NA,NA,0.1407,4.9849,6.0075,0.0899,4.0412,4.4030,1.101,0.419,2.627,37.843
10,60,T,55.24982898,-4.484664034,346.106537,1,0.6779,67.7909,0.2226,22.2556,77.7444,4.91,5,1209550.71,654.97,667.28,14564.40,NA,NA,239938.97,2668.56,2800.08,7455653.43,2083.41,2523.41,187620.07,2051.60,2515.09,5.0000,0.4319,9.7055,9.6130,NA,NA,NA,0.0162,NA,0.6230,0.0311,NA,NA,0.454,0.120,3.795,31.030
10,70,T,55.249717,-4.484717008,332.898682,1,0.6771,67.7059,0.2474,24.7439,75.2561,4.56,5,4085069.31,2249.45,2255.49,37522.51,71.95,72.82,250918.46,2797.76,2929.06,93438208.61,36033.91,31770.08,2354539.50,36005.08,31740.66,5.0000,0.4018,8.9269,8.8340,NA,NA,NA,0.0765,1.4657,3.2550,0.0779,3.3224,3.3215,1.695,0.561,3.021,81.487
10,80,T,55.24966403,-4.484757995,325.217163,1,0.5895,58.9507,0.1559,15.5937,84.4063,5.61,5,4078635.35,2245.88,2251.94,12307.29,NA,NA,289757.20,3254.79,3385.31,26643724.60,9659.89,9050.17,676805.02,9716.64,9112.80,5.0000,0.7110,16.3528,15.6180,NA,NA,NA,0.2721,10.6294,11.5700,0.0509,2.6706,3.0410,0.428,0.160,2.682,16.124
10,90,T,55.24956403,-4.484838964,322.374023,1,0.4554,45.5375,0.0965,9.6484,90.3516,4.75,5,1168880.42,632.42,644.82,409.01,NA,NA,15976.62,33.13,169.10,613065.92,-618.40,195.93,16456.67,-630.36,206.58,5.0000,31.7285,819.2887,820.3130,0.4311,20.9314,21.4572,0.0703,1.1903,2.9845,0.0227,NA,NA,0.104,0.030,3.490,2.888
10,100,T,55.24950301,-4.484860003,323.518585,1,0.6476,64.7587,0.1852,18.5175,81.4825,6.31,5,2617190.59,1435.51,1444.75,7992.58,NA,NA,284383.96,3191.56,3322.19,21114091.35,7476.49,7169.28,537524.24,7534.25,7234.30,5.0000,1.5415,37.1949,36.7140,0.0543,NA,NA,0.1944,7.2917,8.2790,0.0949,4.2169,4.5790,0.425,0.175,2.426,11.312
10,0,B,55.250359,-4.484305,NA,1,0.8736,87.3550,0.5175,51.7535,48.2465,6.27,5,5287458.67,2916.17,2919.60,7019.40,NA,NA,165465.05,1792.20,1925.20,19092215.55,6678.15,6481.55,488811.88,6770.98,6577.31,5.0000,0.2714,NA,NA,NA,NA,NA,0.1362,4.7916,5.8155,0.0335,2.0591,2.4345,0.297,0.103,2.890,13.664
